#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	3156.9323252254
13675	genus	SCOMBER	479.491191435988
77133	species	UNCULTURED BACTERIUM	478.382597562959
100272	species	UNCULTURED EUKARYOTE	247.587060253849
152704	species	UNCULTURED STRAMENOPILE	218.6307221373
278170	subfamily	BALITORINAE	130.528917919401
9577	family	HYLOBATIDAE	97.557911270299
325166	genus	SYMPHALANGUS	97.557911270299
9590	species	SYMPHALANGUS SYNDACTYLUS	97.557911270299
252962	species	OSCARELLA TUBERCULATA	96.4654274575575
314295	superfamily	HOMINOIDEA	62.5458287126886
314293	infraorder	SIMIIFORMES	62.3596349496229
9526	parvorder	CATARRHINI	62.3596349496229
376913	suborder	HAPLORRHINI	62.3596349496229
9601	species	PONGO ABELII	58.6005540049684
405008	species	EUCOMONYMPHA IMLA	57.8645599885842
203449	species	UNCULTURED MARINE EUKARYOTE	57.2130711095253
9604	family	HOMINIDAE	56.8040618091459
9443	order	PRIMATES	52.8604877196717
415603	species	INFUNDIBULOMYCES SP. NR 2006A	50.9237535138462
33695	species	TUBULINOSEMA KINGI	50.8016978533595
607660	subfamily	PONGINAE	50.321043591763
9599	genus	PONGO	50.321043591763
61392	species	COEMANSIA REVERSA	50.1419628949987
115547	species	UNCULTURED ARCHAEON	39.9815205073389
357284	species	HOMALOPTERA LEONARDI	39.9378799005501
357283	genus	HOMALOPTERA	39.9378799005501
314146	superorder	EUARCHONTOGLIRES	39.0335846770338
9606	species	HOMO SAPIENS	34.6624592738318
10020	species	DIPODOMYS ORDII	30.9617885855134
187300	species	UNCULTURED DINOFLAGELLATE	26.1904459738601
314145	superorder	LAURASIATHERIA	22.0687861475162
2	superkingdom	BACTERIA	22.0370909632234
37347	species	TUPAIA BELANGERI	21.7156786305155
2759	superkingdom	EUKARYOTA	21.6555311958915
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	21.562383507353
9598	species	PAN TROGLODYTES	18.8955097804997
175275	species	UNCULTURED CERCOZOAN	17.2368377179007
5241	species	TULASNELLA VIOLEA	17.1888432487582
42254	species	SOREX ARANEUS	16.9971769021905
439317	species	GAMBIERDISCUS AUSTRALES	14.5408770666296
4113	species	SOLANUM TUBEROSUM	14.0689395498449
86473	species	UNCULTURED GAMMA PROTEOBACTERIUM	13.8755484815179
315267	species	UNCULTURED FRESHWATER EUKARYOTE	13.3473252326783
9371	species	ECHINOPS TELFAIRI	12.9081580063395
136703	species	UNCULTURED RUMEN BACTERIUM	12.7413508665734
554078	species	UNCULTURED RHIZARIA	12.6257467410506
91750	species	UNCULTURED ALPHA PROTEOBACTERIUM	12.561806669625
231055	species	UNCULTURED GLOMUS	12.2662587434698
187299	species	UNCULTURED CILIATE	11.933367516417
9347	no rank	EUTHERIA	11.7051393809569
30538	species	VICUGNA PACOS	11.5854453396522
9978	species	OCHOTONA PRINCEPS	11.5038418369779
175274	species	UNCULTURED ALVEOLATE	11.3801483323183
96649	species	PELODERA PUNCTATA	11.2872913779194
4751	kingdom	FUNGI	11.1849365861767
367110	no rank	NEUROSPORA CRASSA OR74A	11.1606700328789
466544	subfamily	PERDICINAE	11.1466599180224
1437010	no rank	BOREOEUTHERIA	11.0784255285054
155900	species	UNCULTURED ORGANISM	10.8858803649514
34034	species	UNCULTURED DELTA PROTEOBACTERIUM	10.8770747349638
9989	order	RODENTIA	10.7233943020604
166587	species	UNCULTURED CHLOROFLEXI BACTERIUM	10.581234780467
191722	species	TRACHELOMONAS OBLONGA	10.127450110132
33154	no rank	OPISTHOKONTA	9.94740615326116
9596	genus	PAN	9.82838111146165
314147	no rank	GLIRES	9.70308602067301
126669	species	AMPHISORUS HEMPRICHII	9.7011919528383
33213	no rank	BILATERIA	9.70059551628741
303551	species	GONYAULAX FRAGILIS	9.4737567386706
683832	species	CIRRHINUS MRIGALA	9.4326267466648
59897	genus	CIRRHINUS	9.4326267466648
240359	species	THECADINIUM MUCOSUM	9.2785579082663
404735	species	UNCULTURED EIMERIIDAE	8.86975036580207
33688	species	AMBLYOSPORA SP.	8.83476142736368
9986	species	ORYCTOLAGUS CUNICULUS	8.7479648402824
32525	no rank	THERIA	8.69159694770386
27973	species	ENCEPHALITOZOON HELLEM	8.68288728482527
10116	species	RATTUS NORVEGICUS	8.53247321154344
281284	species	HEPATOZOON SP. HEPBICM001	8.4310329437593
9394	genus	TUPAIA	8.23266946957994
9392	order	SCANDENTIA	8.23266946957994
9393	family	TUPAIIDAE	8.23266946957994
385043	species	UNCULTURED SYNDINIALES	8.1781800012486
152509	species	UNCULTURED BACTEROIDETES BACTERIUM	7.94137640471344
29281	species	UNCULTURED CRENARCHAEOTE	7.9150415937282
763931	species	KOFOIDINIUM CF. PAVILLARDII	7.40606676598
207598	subfamily	HOMININAE	7.38693478977981
13352	genus	AUXIS	7.36213445527705
217026	species	AUXIS ROCHEI	7.36213445527705
10090	species	MUS MUSCULUS	7.34483011202571
30870	family	SCIAENIDAE	7.31517730068579
1032489	species	SORITES SP. 206	7.2971543729851
315753	species	UNCULTURED LABYRINTHULID	7.20701590209957
285696	species	UNCULTURED PARABASALID EUKARYOTE	7.11275360035529
238756	species	STEPHANOPOGON COLPODA	6.87053591745148
123368	no rank	ACANTHOMORPHA	6.73401814131606
164851	species	UNCULTURED SOIL BACTERIUM	6.727764130839
862507	subgenus	MUS	6.70836580913201
10088	genus	MUS	6.70836580913201
9605	genus	HOMO	6.65685669998652
175247	species	UNCULTURED CHYTRIDIOMYCOTA	6.6542961262677
110477	species	SONDERELLA LINEARIS	6.6262198592677
170407	species	HALIMEDA BORNEENSIS	6.62304564066443
31281	species	ENTEROCYTOZOON BIENEUSI	6.62142966283375
59463	species	MYOTIS LUCIFUGUS	6.5014114300688
6029	phylum	MICROSPORIDIA	6.4213766914411
148817	species	ORTHOSOMELLA OPEROPHTERAE	6.34484572727393
114243	species	UNCULTURED EURYARCHAEOTE	6.32198851179462
70528	species	AMBLYOSPORA STIMULI	6.15345404993681
85101	species	UROCOLIUS MACROURUS	6.10954673639757
128076	species	AMPHISORUS SP. 1333	6.0401944750524
186624	no rank	ELOPOCEPHALA	6.03519052527858
120965	species	UNCULTURED PLANCTOMYCETE	6.0267794714031
175245	species	UNCULTURED FUNGUS	6.00294290903942
3046	species	DUNALIELLA SALINA	5.96339300556
128069	species	ANDROSINA LUCASI	5.94053808745354
460191	species	ENTEROMONAS SP. GECA2	5.87810904199555
577509	species	LAEVIPENEROPLIS SP. 2456 MH 2008	5.86882920612408
214821	species	DICTYOCHA FIBULA	5.82090042576
230744	species	SELENIDIUM VIVAX	5.77178875314511
496878	species	HEXAMASTIX MITIS	5.74392640488821
337687	no rank	MUROIDEA	5.69487225860933
56765	species	UNCULTURED MARINE BACTERIUM	5.68477966059519
325109	species	LEPOCINCLIS FUSCA	5.51573294498918
191594	species	AMBLYOSPORA CANADENSIS	5.5126191955143
1963758	Unknown	Unknown	5.45381394645868
35623	species	ACHOLEPLASMA OCULI	5.3762142789653
1224	phylum	PROTEOBACTERIA	5.35416405140955
170411	species	HALIMEDA CYLINDRACEA	5.27644816583386
501324	species	MYXOBOLUS ALBI	5.05808919932946
297483	species	STYLOPLANELLA STRONGYLOSTOMOIDES	4.9082445004502
9739	species	TURSIOPS TRUNCATUS	4.90078119755571
5022	species	LEPTOSPHAERIA MACULANS	4.83726132370269
143324	genus	ZU	4.83673428845474
143325	species	ZU CRISTATUS	4.83673428845474
723287	species	ANNCALIIA ALGERAE	4.8214597540801
171953	species	UNCULTURED ACIDOBACTERIA BACTERIUM	4.79483959777676
10141	species	CAVIA PORCELLUS	4.74536008647202
39107	subfamily	MURINAE	4.67495233014908
10066	family	MURIDAE	4.67495233014908
554024	species	NEMATODA ENVIRONMENTAL SAMPLE	4.5817831290843
170417	species	HALIMEDA HEDERACEA	4.5731347875679
40674	class	MAMMALIA	4.5629578745759
390261	species	PSEUDOTRICHONYMPHA SP. LA19SC P8	4.53909025769419
39050	species	UNIDENTIFIED TRICHOMONAD 1	4.50268525565843
304914	species	SINOCYCLOCHEILUS ALTISHOULDERUS	4.4804165124847
186801	class	CLOSTRIDIA	4.45020158639196
186802	order	CLOSTRIDIALES	4.45020158639196
283062	species	UNCULTURED EUKARYOTIC PICOPLANKTON	4.4337678976088
104083	species	PSEUDOTRICHONYMPHA GRASSII	4.42885418666152
264634	species	ACHOLEPLASMA EQUIFETALE	4.3517991750747
390267	species	PSEUDOTRICHONYMPHA SP. MA55PA	4.30797428754452
454286	no rank	COCCIDIOIDES IMMITIS RMSCC 3703	4.2336223424666
104034	species	RETICULITERMES YAEYAMANUS PARABASALIAN SYMBIONT CLONE RY1	4.1178816469779
161228	species	LEPOCINCLIS FUSIFORMIS	4.0256033800162
8087	suborder	CYPRINODONTOIDEI	4.0225478057726
547051	species	UNCULTURED MARINE DIPLONEMID	4.02078092938602
3988	species	RICINUS COMMUNIS	3.9837623035809
8825	superorder	NEOGNATHAE	3.93767312058731
9595	subspecies	GORILLA GORILLA GORILLA	3.9354323944258
33317	no rank	PROTOSTOMIA	3.9284708513054
637493	species	MICROSPORIDIUM SP. MIC1	3.87116488331473
311568	species	OPERCULINA ELEGANS	3.8570790124069
191595	species	AMBLYOSPORA CINEREI	3.83695126914023
10114	genus	RATTUS	3.8151773088445
390253	species	PSEUDOTRICHONYMPHA SP. LA10CP P1	3.76638297727702
306672	species	SORITES SP. P27_1382X	3.7406517083348
36804	species	ENTEROCYTOZOON SALMONIS	3.7138140230306
451864	subkingdom	DIKARYA	3.69837419170366
9104	genus	ARBOROPHILA	3.6319983396231
9785	species	LOXODONTA AFRICANA	3.59772240352201
5741	species	GIARDIA INTESTINALIS	3.58016950916622
