#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
189424	species	MENOIDIUM SP. CCAP 1247/6	3.5646134491094
9597	species	PAN PANISCUS	3.55616885548474
8082	genus	XIPHOPHORUS	3.47601137100469
157820	species	UNCULTURED PRASINOPHYCEAE	3.4733286752625
321614	no rank	PHAEOSPHAERIA NODORUM SN15	3.468562332865
907244	species	RETICULITERMES CHINENSIS PARABASALIAN SYMBIONT	3.3564493323343
222886	species	LEPOCINCLIS SALINA	3.296947783021
13616	species	MONODELPHIS DOMESTICA	3.28880023057314
8111	order	PERCIFORMES	3.26477457550306
108414	species	HENNEGUYA ICTALURI	3.2587089712267
505711	species	ANDALUCIA GODOYI	3.2192756721206
51588	species	AMBLYOSPORA CALIFORNICA	3.2007428433264
344338	species	UNCULTURED FIRMICUTES BACTERIUM	3.1972966305504
63918	species	ARTHROPTERUS SP. KAO 1997	3.1593430514442
106119	species	AURANTIACTINOMYXON MISSISSIPPIENSIS	3.1592903467075
35558	subspecies	PELODERA STRONGYLOIDES DERMATITICA	3.0870771911821
91561	no rank	CETARTIODACTYLA	3.08517755325996
395038	species	JOSEFPOELTIA PARVA	3.0788277739873
120858	species	UNCULTURED EPSILON PROTEOBACTERIUM	3.0683569411796
30727	superfamily	CYPRINOIDEA	3.06319126353729
7953	family	CYPRINIDAE	3.06319126353729
404790	species	PHASEOLEAE ENVIRONMENTAL SAMPLE	3.0625109233704
658077	species	HICANONECTES TELESKOPOS	3.03703029063811
102907	species	EUTREPTIA PERTYI	3.0254042890216
202247	species	PSEUDONOSEMA CRISTATELLAE	2.9887094902711
693772	species	INVERTEBRATE ENVIRONMENTAL SAMPLE	2.9843291321168
66478	species	HENNEGUYA EXILIS	2.9595124231053
6072	no rank	EUMETAZOA	2.95216646768861
33178	species	ASPERGILLUS TERREUS	2.9217384994611
182762	species	BOREOPHYLLUM AESTIVALE	2.908024180094
86027	species	UNCULTURED BETA PROTEOBACTERIUM	2.8938847606074
63603	species	MONOPYLOCYSTIS VISVESVARAI	2.85396961345564
202249	species	TRICHONOSEMA PECTINATELLAE	2.837249310579
472931	species	PROTOSTELIUM MYCOPHAGUM	2.83408620847545
57846	genus	PETROSCIRTES	2.82855138081163
57847	species	PETROSCIRTES BREVICEPS	2.82855138081163
703914	subfamily	BLENNIINAE	2.82855138081163
404737	species	UNCULTURED CERCOMONAD	2.80619531303923
4081	species	SOLANUM LYCOPERSICUM	2.7698860594892
190530	species	UNCULTURED ACIDOBACTERIALES BACTERIUM	2.7495525276123
544561	species	UNCULTURED VANNELLIDAE	2.7416710093635
57372	species	MYCOPLASMA SUIS	2.725500723274
33129	species	PHASEOLUS ACUTIFOLIUS	2.71577165911261
33208	kingdom	METAZOA	2.71334294179914
153809	species	UNCULTURED PROTEOBACTERIUM	2.70910166674463
166956	species	NEOVAHLKAMPFIA DAMARISCOTTAE	2.7050394879938
390268	species	PSEUDOTRICHONYMPHA SP. AU03SC	2.7048526595802
386439	species	PARVICAPSULA KABATAI	2.6971838891983
460178	species	TREPOMONAS STEINII	2.69397072159152
459226	species	LEPOCINCLIS STEINII	2.6705453978923
33554	order	CARNIVORA	2.65668642064394
198240	species	UNCULTURED METHANOGENIC ARCHAEON	2.6221148489966
162155	species	UNCULTURED TREPONEMA SP.	2.6097201025323
449395	species	PARVICAPSULA BICORNIS	2.6018741595981
33175	species	OPHIOSPHAERELLA HERPOTRICHA	2.5722976549606
3694	species	POPULUS TRICHOCARPA	2.562731840351
167965	species	UNCULTURED TERMITE GROUP 1 BACTERIUM	2.5619282557747
32644	species	UNIDENTIFIED	2.5534310788917
555406	no rank	ARCHAMOEBAE	2.5470453314691
5758	genus	ENTAMOEBA	2.5470453314691
33084	no rank	ENTAMOEBIDAE	2.5470453314691
329655	species	UNCULTURED MARINE POLYCYSTINEA	2.53230924647456
390252	species	PSEUDOTRICHONYMPHA SP. MA79CP P1	2.5279406214203
33630	no rank	ALVEOLATA	2.4767577151801
136464	species	SACCAMOEBA LIMAX	2.468307551129
5654	family	TRYPANOSOMATIDAE	2.45526899466417
5653	order	KINETOPLASTIDA	2.45526899466417
393604	species	HENNEGUYA GURLEI	2.4247913762927
8112	suborder	PERCOIDEI	2.3936804207011
49980	species	CLIMACOSTOMUM VIRENS	2.3886034926159
96784	species	MONOMORPHINA PYRUM	2.3875812416951
212501	species	ELPHIDIUM EXCAVATUM	2.3868055328053
146626	species	BUELLIA GEORGEI	2.3841338530564
6239	species	CAENORHABDITIS ELEGANS	2.3816957533393
37095	species	ULKENIA PROFUNDA	2.3670296051489
196593	species	LEIDYANA MIGRATOR	2.3219462581096
1396	species	BACILLUS CEREUS	2.3158111142363
328341	species	SOIL AMOEBA AND9	2.31382376967499
9258	species	ORNITHORHYNCHUS ANATINUS	2.30974415194862
672924	species	LECUDINA LONGISSIMA	2.305048229296
89593	subphylum	CRANIATA	2.28725429581259
7742	no rank	VERTEBRATA	2.28725429581259
7776	superclass	GNATHOSTOMATA	2.28725429581259
460812	species	AMMONIA SP. JP 2007	2.27781626443039
294141	species	HIPPOLYTE PLEURACANTHUS	2.2553251987124
360837	species	UNCULTURED MARINE GROUP I THAUMARCHAEOTE	2.2501489015937
12968	species	BLASTOCYSTIS HOMINIS	2.2328086219207
376915	infraorder	LEMURIFORMES	2.21622214966478
376911	suborder	STREPSIRRHINI	2.21622214966478
156588	species	UNCULTURED VERRUCOMICROBIA BACTERIUM	2.2072223729569
86637	species	GYROPAIGNE LEFEVREI	2.2069260556355
1211	species	UNCULTURED CYANOBACTERIUM	2.2050474236664
63595	species	STACHYAMOEBA SP. ATCC 50324	2.20086478155795
1445009	species	NIORMA CHRYSOPHTHALMA	2.1934199034307
61416	species	SPIRODACTYLON AUREUM	2.1832719296431
33682	no rank	EUGLENOZOA	2.16966274566667
200885	species	HYALINOCYSTA CHAPMANI	2.16952474036246
604433	species	ARBOROPHILA RUFOGULARIS	2.1565395719571
103983	species	PARVILUCIFERA INFECTANS	2.1534103298771
645133	no rank	COLLETOTRICHUM GRAMINICOLA M1.001	2.1455256270409
195049	species	UNCULTURED CLOSTRIDIACEAE BACTERIUM	2.12874953171705
884649	species	MYRIANIDA FLAVA	2.1092711062446
46130	species	ARCHAIAS ANGULATUS	2.1076155303367
933848	species	ELPHIDIUM MARGARITACEUM	2.10625756417825
198431	species	UNCULTURED PROKARYOTE	2.10010471914206
191602	species	BERWALDIA SCHAEFERNAI	2.0986305608786
187319	species	UNCULTURED FIBROBACTERES BACTERIUM	2.0901958251812
246498	species	XYLARIA SP. F10	2.0842804914069
219660	species	UNCULTURED RICKETTSIALES BACTERIUM	2.0644830759861
202244	species	BRYONOSEMA PLUMATELLAE	2.05901587810323
114909	species	TURBATRIX ACETI	2.0580888785693
282495	species	UNCULTURED OXYTRICHIDAE	2.0476182789498
941467	species	UNCULTURED BRYOMETOPIDA	2.012740096324
1017163	species	MYXOBOLUS GROENLANDICUS	2.0109032586138
390254	species	PSEUDOTRICHONYMPHA SP. BR75CPT P1	2.0032878682823
463705	species	UNCULTURED BANISVELD EUKARYOTE	2.0029955682362
120990	species	CABEREA BORYI	2.0028017119339
502617	species	HEPATOZOON SP. 539	1.99935719361
40531	species	POLYTOMA OVIFORME	1.9973265000027
129949	no rank	SMEGMAMORPHA	1.99484307753015
650274	species	GREGARINA BASICONSTRICTONEA	1.9680261057401
27592	subfamily	BOVINAE	1.9529334555676
316140	genus	PSENES	1.9471972235808
316143	species	PSENES CYANOPHRYS	1.9471972235808
174293	species	UNCULTURED MICROGENOMATES BACTERIUM	1.9436438353596
317506	species	UNCULTURED BDELLOID ROTIFER	1.9070755782014
7245	species	DROSOPHILA YAKUBA	1.9024942085542
9365	species	ERINACEUS EUROPAEUS	1.89997964430254
136180	species	ACARTIA TONSA	1.89598988908714
13686	species	SOLENOPSIS INVICTA	1.8693373500315
342406	species	BABESIA SP. XINJIANG 2005	1.8679972895085
84085	species	MARIPLANELLA FRISIA	1.8676694994415
281608	species	PROTOPERIDINIUM ABEI	1.867379619085
90328	species	UNCULTURED ARCHEON 'KTK 18A'	1.8652205636002
981317	species	CERCOZOA SP. ATCC 50530	1.8590290660754
955	species	WOLBACHIA PIPIENTIS	1.8559614470646
1169103	species	MOCKFORDIA XANTHOCAECILIAE	1.843071025443
72045	family	SYNGNATHIDAE	1.8415793611519
573653	species	UNCULTURED EUGLENOZOAN	1.82341037487093
128061	species	BORELIS SCHLUMBERGERI	1.8220469469847
1003144	species	TRIGONIUM FORMOSUM	1.819119582377
52559	species	TESSELLARIA VOLVOCINA	1.814376699427
55118	family	CLUPEIDAE	1.8131211853681
191592	species	AMBLYOSPORA INDICOLA	1.8054244251451
88036	species	SELAGINELLA MOELLENDORFFII	1.8031109615473
31290	species	PSALTERIOMONAS LANTERNA	1.79494143799822
1404	species	BACILLUS MEGATERIUM	1.791260348058
70534	species	CULICOSPORELLA LUNATA	1.7858352863365
170413	species	HALIMEDA FRAGILIS	1.7826075197287
435234	species	DENDROPHYSA RUSSELII	1.78039911270084
435233	genus	DENDROPHYSA	1.78039911270084
182556	species	CYTHEROPTERON SUBUCHIOI	1.778412309068
55529	species	GUILLARDIA THETA	1.76949160528208
7260	species	DROSOPHILA WILLISTONI	1.75604286726243
3981	species	HEVEA BRASILIENSIS	1.7345119786992
281636	species	PRODINYCHUS SP. AL7170	1.7209283014992
76315	species	CAULERPA SERTULARIOIDES	1.70102571366395
459470	species	UNCULTURED EIMERIA	1.696349083638
9823	species	SUS SCROFA	1.6960331137648
9796	species	EQUUS CABALLUS	1.69509414154242
152508	species	UNCULTURED LOW G+C GRAM POSITIVE BACTERIUM	1.6925267184553
191596	species	AMBLYOSPORA CRINIFERIS	1.6806199528694
441375	no rank	CRYPTOSPORIDIUM MURIS RN66	1.67955838684375
5808	species	CRYPTOSPORIDIUM MURIS	1.67955838684375
121267	species	EUKARYOTE CLONE OLI11029	1.6786784499607
9615	subspecies	CANIS LUPUS FAMILIARIS	1.6656619061243
147538	subphylum	PEZIZOMYCOTINA	1.66531744013941
32524	no rank	AMNIOTA	1.65971581741487
282488	species	UNCULTURED APICOMPLEXAN	1.654351201375
433727	species	HOT SPRINGS METAGENOME	1.654058310152
716546	no rank	LEOTIOMYCETA	1.65290950826541
33690	species	PARATHELOHANIA ANOPHELIS	1.646242692435
403677	no rank	PHYTOPHTHORA INFESTANS T30 4	1.64522360119
123732	superfamily	SCOMBERESOCOIDEA	1.6436773977889
139907	species	CHROODACTYLON ORNATUM	1.633956725142
651454	species	GREGARINA DIABROTICA	1.631398391462
478975	species	BINUCLEATA DAPHNIAE	1.6170266018808
409613	species	REMANELLA SP. R101	1.602681756187
79327	species	SCHMIDTEA MEDITERRANEA	1.59979473899197
70775	species	PSEUDOMONAS PLECOGLOSSICIDA	1.59738503207712
497999	species	RHIZAMOEBA SP. ATCC 50933	1.597072651847
195268	species	PROSCOLOPLOS CYGNOCHAETUS	1.5918558416225
172733	species	UNCULTURED CLOSTRIDIALES BACTERIUM	1.58722083642027
216950	species	DIDYMORCHIS SP. AUSTRALIA DTJL 2002	1.5775850762105
703762	species	WAMINOA SP. MAJA1	1.57657060760227
182956	species	UNCULTURED ACANTHAREAN	1.5752158252252
152507	species	UNCULTURED ACTINOBACTERIUM	1.5736087008979
5735	species	HYPOTRICHOMONAS ACOSTA	1.5646512275213
551665	species	REOPHAX SP. JP 2008	1.5619631303972
578462	no rank	ALLOMYCES MACROGYNUS ATCC 38327	1.56163731508157
415142	species	ALIATYPUS SP. MY0106	1.55875982761
563847	species	STREPTOMYCES SP. DT 2	1.552206979269
104054	species	HODOTERMOPSIS SJOESTEDTI PARABASALIAN SYMBIONT CLONE HSS1	1.5487878839186
171245	species	UNCULTURED CHLOROPHYTA	1.5474671396958
379532	species	PROPITHECUS COQUERELI	1.5330115118619
30599	family	INDRIIDAE	1.5330115118619
30600	genus	PROPITHECUS	1.5330115118619
460189	species	ENTEROMONAS HOMINIS	1.5329567715276
65595	species	COLLOSPHAERA GLOBULARIS HUXLEYI	1.5318758360423
366517	species	EUCYRTIDIUM ACUMINATUM	1.530619321174
32523	no rank	TETRAPODA	1.52768211394651
1338369	no rank	DIPNOTETRAPODOMORPHA	1.52768211394651
8287	no rank	SARCOPTERYGII	1.52768211394651
100371	species	UNCULTURED PLANCTOMYCETALES BACTERIUM	1.51518434933545
350847	species	AURIGAMONAS SOLIS	1.511880215215
40530	species	POLYTOMA OBTUSUM	1.4998894340338
391280	species	PROCERODES PLEBEJA	1.4992177292633
182497	species	PROPONTOCYPRIS PIRIFERA	1.4974504176774
130081	species	GALDIERIA SULPHURARIA	1.4932312912003
13363	species	BORAGO OFFICINALIS	1.484265450084
50562	species	PETROBIUS BREVISTYLIS	1.4750140245746
229420	species	UNCULTURED TULASNELLA	1.4693394015129
7227	species	DROSOPHILA MELANOGASTER	1.45879579387817
61965	species	GIARDIA MICROTI	1.4573733739127
189428	species	FLABELLIA PETIOLATA	1.4563677409777
43352	species	DIENTAMOEBA FRAGILIS	1.449868141919
261843	species	PROTOPERIDINIUM CONICUM	1.4407695470423
46218	species	COTURNIX CHINENSIS	1.4357352283183
356913	species	UNCULTURED FRESHWATER CERCOZOAN	1.429501223988
759664	species	UNCULTURED DEEP SEA BACTERIUM	1.4227865913847
672928	species	FILIPODIUM PHASCOLOSOMAE	1.4206231602814
293718	species	PANAGROLAIMUS SUBELONGATUS	1.4160819836037
134680	species	ANTARCTOSACCION APPLANATUM	1.412760974669
244530	species	BACILLIDIUM VESICULOFORMIS	1.4011105997071
43179	species	ICTIDOMYS TRIDECEMLINEATUS	1.4007293748292
324688	species	UNCULTURED MARINE PICOPLANKTON	1.3984294039977
86281	species	CARYOSPORA BIGENETICA	1.3869326987326
27898	species	CRENOBIA ALPINA	1.385671630101
645121	species	HELKESIMASTIX SP. ATCC 50328	1.3812424188194
674959	species	PICOLA RENEI	1.3708016430884
686822	species	CERATOMYXA BURI	1.370416075431
13776	species	UNIDENTIFIED ARCHAEON	1.364525735492
536614	species	WRANGELIA PLUMOSA	1.364316737225
238794	species	COLLOZOUM INERME	1.364189515339
315745	species	UNCULTURED PHYLLOPHARYNGID CILIATE	1.3572720690124
114706	species	UNCULTURED ACIDOBACTERIUM SP.	1.3571391952489
568901	species	HETEROLOBOSEA SP. EV10A	1.3480732715366
245686	species	GIARDIA SP. QUENDA	1.346078531611
272743	species	SPIRORBIS SPIRORBIS	1.3424282592564
51293	genus	CAPITELLA	1.33082093909402
283909	species	CAPITELLA TELETA	1.33082093909402
51292	family	CAPITELLIDAE	1.33082093909402
6342	order	CAPITELLIDA	1.33082093909402
6341	class	POLYCHAETA	1.33082093909402
105387	subclass	SCOLECIDA	1.33082093909402
262235	species	HAPLOSPORIDIAN PARASITE OF CYRENOIDA FLORIDANA	1.329627368174
167054	species	RALSTONIA SP. NI1	1.325495704322
69402	species	CARTERIA OBTUSA	1.323908152728
128056	species	BROECKINA SP. 835	1.3179538443041
549	species	PANTOEA AGGLOMERANS	1.31385826062
81824	species	MONOSIGA BREVICOLLIS	1.3129875305792
137771	species	UNCULTURED DIATOM	1.302886467342
56899	species	PARASITAXUS USTA	1.302738960957
559495	species	ARBOROPHILA RUFIPECTUS	1.29948324175422
194843	species	UNCULTURED BACTEROIDALES BACTERIUM	1.29761197790365
151594	species	UNCULTURED MARINE COLPODEAN CILIATE DH147 EKD23	1.297199647295
40532	species	POLYTOMA UVELLA	1.291889311029
478398	species	EDWARDSIANTHUS GILBERTENSIS	1.289330040708
691883	species	FONTICULA ALBA	1.288218661548
369749	species	OCTOMITUS INTESTINALIS	1.277324238542
121255	species	EUKARYOTE CLONE OLI11027	1.274006937066
1402	species	BACILLUS LICHENIFORMIS	1.27305795636209
135453	species	CANDIDA GHANAENSIS	1.270815988809
46086	species	ELPHIDIUM ACULEATUM	1.2692289304686
267632	species	UNCULTURED OCHROBACTRUM SP.	1.265446841787
376926	species	PSEUDOMONAS SP. AM2	1.2613671626373
430611	species	STROMBOMONAS VERRUCOSA	1.2612048156367
219841	species	PARDUCZIA ORBIS	1.259950286113
148348	species	TRIACTINOMYXON SP.	1.254987699476
768838	species	LOXOMITRA MIZUGAMAENSIS	1.25008601807
345243	species	PASSALACARUS SYLVESTRIS	1.243300713349
168242	species	CAMPANELLA UMBELLARIA	1.241525612538
94207	species	ELAPHOCORDYCEPS INEGOENSIS	1.23532485587931
569457	species	IRON REDUCING BACTERIUM ENRICHMENT CULTURE CLONE HN HFO121	1.233445515408
50586	species	LEPISMA SACCHARINA	1.2321735836486
479976	species	PSEUDOLEPTORHYNCHOIDES LAMOTHEI	1.230968545175
367189	species	HALADAPTATUS PAUCIHALOPHILUS	1.2309048888991
338152	subfamily	FELINAE	1.23038612479968
9681	family	FELIDAE	1.23038612479968
379583	suborder	FELIFORMIA	1.23038612479968
181547	species	SNYDERELLA TABOGAE	1.2285413424032
8084	species	XIPHOPHORUS HELLERII	1.22847589710463
6032	suborder	APANSPOROBLASTINA	1.226178467965
91844	species	CANDIDATUS PORTIERA ALEYRODIDARUM	1.2258269127578
471825	species	HALOPLASMA CONTRACTILE	1.221378368581
151446	species	HALANAEROBIUM SP. S5L4	1.2197424028216
161230	species	STROMBOMONAS COSTATA	1.218801199837
193294	species	WATERSIPORA SUBTORQUATA	1.2154656418875
716545	no rank	SACCHAROMYCETA	1.21479835844605
270885	species	ZOROTYPUS HUBBARDI	1.2142501580834
175243	species	UNCULTURED ASCOMYCOTA	1.2093866686405
76775	species	MALASSEZIA RESTRICTA	1.19687007960775
425264	no rank	MALASSEZIA RESTRICTA CBS 7877	1.19687007960775
703213	species	CHTHAMALOPHILUS DELAGEI	1.1966414976114
88069	species	BACILLIDIUM SP.	1.1934208029884
198507	species	LABEO SENEGALENSIS	1.1927075403987
471281	species	EIMERIA COECICOLA	1.1925443751155
54267	species	FUNDULUS DIAPHANUS	1.1885840011566
7735	subphylum	CEPHALOCHORDATA	1.18810869484913
7739	species	BRANCHIOSTOMA FLORIDAE	1.18810869484913
