TaxaID	Taxonomic_Rank	Name	Count	Probability	Proportion_Classified(%)
1280	species	STAPHYLOCOCCUS AUREUS	552.064237973045	5677	9.7245770	3.2315907
46170	subspecies	STAPHYLOCOCCUS AUREUS SUBSP. AUREUS	420.912032132182	4987	8.4401851	2.8388132
77133	species	UNCULTURED BACTERIUM	301.817813651285	1353	22.3073033	0.7701853
189668	species	UNCULTURED STAPHYLOCOCCUS SP.	105.221209080584	873	12.0528304	0.4969489
100272	species	UNCULTURED EUKARYOTE	38.5272757292789	216	17.8367017	0.1229564
496922	species	CORAL METAGENOME	20.387919516136	33	61.7815743	0.0187850
403947	species	STAPHYLOCOCCUS SP. SKM20 7 9	17.1977589454384	81	21.2318012	0.0461087
410048	species	STAPHYLOCOCCUS SP. M210	16.7464324581244	145	11.5492638	0.0825402
203449	species	UNCULTURED MARINE EUKARYOTE	11.4903888596869	90	12.7670987	0.0512318
308354	species	STAPHYLOCOCCUS SIMIAE	11.0011385190205	142	7.7472806	0.0808325
45972	species	STAPHYLOCOCCUS PASTEURI	10.8206691097905	69	15.6821291	0.0392777
246432	species	STAPHYLOCOCCUS EQUORUM	10.477811443589	119	8.8048836	0.0677399
270562	species	BRANCHIOSTEGUS JAPONICUS	7.651720163182	50	15.3034403	0.0284621
98376	species	PSEUDOLABRUS EOETHINUS	7.507429869203	13	57.7494605	0.0074002
384598	species	OSTRACION IMMACULATUS	7.27591130568	60	12.1265188	0.0341546
175275	species	UNCULTURED CERCOZOAN	6.6710090605281	32	20.8469033	0.0182158
236697	species	CYMUS SP. WCW 2003B	6.338646577026	9	70.4294064	0.0051232
61015	species	STAPHYLOCOCCUS SUCCINUS	6.2904295787077	64	9.8287962	0.0364315
405008	species	EUCOMONYMPHA IMLA	4.84027629726201	65	7.4465789	0.0370008
415603	species	INFUNDIBULOMYCES SP. NR 2006A	4.48663992774541	47	9.5460424	0.0267544
348708	species	COREGONUS OXYRINCHUS	4.33333333333373	57	7.6023392	0.0324468
283007	species	PHYTOPHTHORA IPOMOEAE	4.33333333333373	57	7.6023392	0.0324468
235	species	BRUCELLA ABORTUS	4.33333333333373	2029	0.2135699	1.1549934
33695	species	TUBULINOSEMA KINGI	4.24955833809713	62	6.8541264	0.0352930
319757	species	LACTORIA DIAPHANA	4.14988447144615	53	7.8299707	0.0301699
81636	species	MICROMESISTIUS POUTASSOU	4.0261647027011	40	10.0654118	0.0227697
28185	species	SPIROCHAETA SP.	3.9715342790612	28	14.1840510	0.0159388
187300	species	UNCULTURED DINOFLAGELLATE	3.77411532777349	26	14.5158282	0.0148003
143344	species	HELICOLENUS HILGENDORFI	3.4345599927994	53	6.4803019	0.0301699
1293	species	STAPHYLOCOCCUS GALLINARUM	3.4306534417876	402	0.8533964	0.2288356
366427	species	DECIPISAGITTA DECIPIENS	3.314608794462	9	36.8289866	0.0051232
7426	species	NASONIA GIRAULTI	3.25694415184	56	5.8159717	0.0318776
34034	species	UNCULTURED DELTA PROTEOBACTERIUM	3.2403075910488	22	14.7286709	0.0125233
554078	species	UNCULTURED RHIZARIA	2.8953172805593	11	26.3210662	0.0062617
1282	species	STAPHYLOCOCCUS EPIDERMIDIS	2.828588062239	203	1.3933931	0.1155563
7940	species	ANGUILLA AUSTRALIS	2.8161552943265	117	2.4069703	0.0666014
86961	subspecies	ANGUILLA AUSTRALIS AUSTRALIS	2.8161552943265	48	5.8669902	0.0273236
545418	species	BRANCHIOSTEGUS ARGENTATUS	2.8081929383893	40	7.0204823	0.0227697
69944	species	LOTA LOTA	2.68410329685687	44	6.1002348	0.0250467
646392	species	STAPHYLOCOCCUS SP. D182	2.6829555934491	42	6.3879895	0.0239082
5022	species	LEPTOSPHAERIA MACULANS	2.61868510695368	165	1.5870819	0.0939250
152704	species	UNCULTURED STRAMENOPILE	2.5760028707913	25	10.3040115	0.0142311
