Object_ID, Length, Assignment
C04.57730,180,5661
C04.57999,180,5061
C04.58217,180,5661
C04.58227,180,5061
C04.58477,180,5661
C04.58592,180,5661
C04.58845,180,5661
C04.59177,146,5661
C04.59629,180,5661
C04.59745,180,5661
C04.59990,180,5061
C04.60305,180,5661
C04.60334,180,5061
C04.60527,180,5661
C04.60736,180,5661
C04.60899,180,5661
C04.61055,180,5661
C04.61094,180,5661
C04.61316,180,5061
C04.61392,180,5661
C04.61476,180,5661
C04.61823,180,5661
C04.62423,144,5661
C04.62748,180,5061
C04.62943,180,5661
C04.63056,180,5661
C04.63276,116,5661
C04.63370,180,5661
C04.63496,122,5661
C04.63532,180,5661
C04.63653,180,5661
C04.63809,180,5661
C04.64165,180,5661
C04.64311,180,5661
C04.64404,180,5661
C04.64551,180,5061
C04.64582,180,5061
C04.64692,180,5661
C04.65054,180,5061
C04.65107,180,5061
C04.65217,180,5661
C04.65253,180,5061
C04.65419,180,5661
C04.65562,180,5661
C04.65564,180,5661
C04.65569,180,5661
C04.66205,180,5061
C04.66742,180,5061
C04.66786,180,5061
C04.66878,180,5661
C04.67518,180,5061
C04.67589,180,5661
C04.67694,180,5661
C04.68143,180,5661
C04.68306,180,5661
C04.68342,70,5661
C04.68688,180,5661
C04.69003,180,5661
C04.69101,180,5661
C04.69292,180,5061
C04.69347,180,5061
C04.69425,180,5661
C04.69464,180,5061
C04.69561,180,5661
C04.69644,180,5061
C04.69909,180,5661
C04.69951,180,632
C04.70433,180,5661
C04.71206,180,5661
C04.71400,180,5061
C04.71495,180,5661
C04.71499,180,5061
C04.71839,96,5661
C04.72105,94,5661
C04.72355,180,5661
C04.72391,180,5661
C04.72890,180,5061
C04.73024,180,5661
C04.73543,180,5661
C04.74374,180,5661
C04.74606,148,5661
C04.74952,180,5661
C04.75235,180,5661
C04.75492,180,5661
C04.75493,180,5061
C04.76020,180,5661
C04.76063,180,5661
C04.76590,180,5061
C04.76657,180,5061
C04.76728,180,5661
C04.77245,180,5061
C04.77430,180,5061
C04.77800,180,5661
C04.77828,180,588
C04.78761,180,5661
C04.78776,180,5061
C04.78882,180,5061
C04.79083,180,5661
C04.79321,180,5661
C04.79450,180,5661
C04.79527,180,5661
C04.79656,180,5061
C04.79867,180,5061
C04.80231,180,5061
C04.80739,180,5661
C04.81048,180,5061
C04.81434,180,5661
C04.82309,180,5661
C04.82438,180,5661
C04.82824,180,5061
C04.83234,180,5061
C04.83534,180,28152
C04.83565,180,5061
C04.83751,180,5661
C04.83835,180,5661
C04.83965,180,5061
C04.84403,180,5661
C04.84682,180,5661
C04.85981,180,5661
C04.86022,180,5661
C04.86755,108,5661
C04.86946,180,5061
C04.87189,180,5061
C04.87480,180,5061
C04.87767,180,5661
C04.87850,180,5061
C04.87873,180,5661
C04.88122,180,5661
C04.88397,180,5661
C04.88575,180,5061
C04.88582,180,5061
C04.88916,180,5661
C04.89275,180,5061
C04.89313,180,5061
C04.89370,88,5661
C04.90029,180,5661
C04.90488,180,5661
C04.90671,180,5661
C04.90696,180,5061
C04.91020,180,5661
C04.91042,180,5661
C04.91283,180,5061
C04.91295,180,5661
C04.91336,180,5061
C04.91426,180,5661
C04.91836,180,28152
C04.92125,180,5661
C04.92458,180,5661
