Object_ID, Length, Assignment
M04071:134:000000000-BLG8R:1:1101:14550:2264,300,5061
M04071:134:000000000-BLG8R:1:1101:13185:2301,299,5061
M04071:134:000000000-BLG8R:1:1101:16300:2440,301,5661
M04071:134:000000000-BLG8R:1:1101:10389:2462,300,727
M04071:134:000000000-BLG8R:1:1101:16899:2485,301,5661
M04071:134:000000000-BLG8R:1:1101:15455:2533,300,263
M04071:134:000000000-BLG8R:1:1101:12112:2569,301,5661
M04071:134:000000000-BLG8R:1:1101:17386:2588,302,5061
M04071:134:000000000-BLG8R:1:1101:19891:2632,302,11029
M04071:134:000000000-BLG8R:1:1101:14028:2635,302,5061
M04071:134:000000000-BLG8R:1:1101:20952:2670,302,57975
M04071:134:000000000-BLG8R:1:1101:11080:2720,302,5661
M04071:134:000000000-BLG8R:1:1101:9734:2735,301,57975
M04071:134:000000000-BLG8R:1:1101:12443:2763,301,5061
M04071:134:000000000-BLG8R:1:1101:17950:2791,280,5061
M04071:134:000000000-BLG8R:1:1101:21203:2801,302,5661
M04071:134:000000000-BLG8R:1:1101:14469:2870,302,5661
M04071:134:000000000-BLG8R:1:1101:10352:2896,302,5661
M04071:134:000000000-BLG8R:1:1101:20110:2907,301,5061
M04071:134:000000000-BLG8R:1:1101:11447:2948,301,5061
M04071:134:000000000-BLG8R:1:1101:9530:2980,302,5061
M04071:134:000000000-BLG8R:1:1101:21946:2987,301,5061
M04071:134:000000000-BLG8R:1:1101:17133:3000,301,5661
M04071:134:000000000-BLG8R:1:1101:16258:3024,298,5061
M04071:134:000000000-BLG8R:1:1101:14301:3079,302,5661
M04071:134:000000000-BLG8R:1:1101:16359:3118,301,5061
M04071:134:000000000-BLG8R:1:1101:16694:3153,302,5061
M04071:134:000000000-BLG8R:1:1101:12595:3199,302,5061
M04071:134:000000000-BLG8R:1:1101:22092:3240,300,5661
M04071:134:000000000-BLG8R:1:1101:20991:3385,300,5661
M04071:134:000000000-BLG8R:1:1101:21872:3447,302,5061
M04071:134:000000000-BLG8R:1:1101:11959:3456,300,5661
M04071:134:000000000-BLG8R:1:1101:10039:3482,300,5061
M04071:134:000000000-BLG8R:1:1101:14419:3511,301,5061
M04071:134:000000000-BLG8R:1:1101:10404:3595,302,5061
M04071:134:000000000-BLG8R:1:1101:11324:3651,302,57975
M04071:134:000000000-BLG8R:1:1101:17853:3660,301,5061
M04071:134:000000000-BLG8R:1:1101:22660:3676,300,5061
M04071:134:000000000-BLG8R:1:1101:18574:3697,302,5061
M04071:134:000000000-BLG8R:1:1101:7973:3706,302,5061
M04071:134:000000000-BLG8R:1:1101:9308:3731,302,5061
M04071:134:000000000-BLG8R:1:1101:9328:3780,302,5661
M04071:134:000000000-BLG8R:1:1101:8423:3784,299,5661
M04071:134:000000000-BLG8R:1:1101:14946:3790,299,5061
M04071:134:000000000-BLG8R:1:1101:15736:3806,301,5661
M04071:134:000000000-BLG8R:1:1101:13594:3822,302,5061
M04071:134:000000000-BLG8R:1:1101:19461:3836,302,5661
M04071:134:000000000-BLG8R:1:1101:23633:3840,301,5661
M04071:134:000000000-BLG8R:1:1101:13663:3874,300,5061
M04071:134:000000000-BLG8R:1:1101:11757:3877,302,57975
M04071:134:000000000-BLG8R:1:1101:16430:3949,300,5061
M04071:134:000000000-BLG8R:1:1101:8982:3950,300,5061
M04071:134:000000000-BLG8R:1:1101:12524:3950,301,5661
M04071:134:000000000-BLG8R:1:1101:14831:3954,302,5061
M04071:134:000000000-BLG8R:1:1101:21336:4014,300,5061
M04071:134:000000000-BLG8R:1:1101:13009:4039,301,5061
M04071:134:000000000-BLG8R:1:1101:19217:4093,158,5661
M04071:134:000000000-BLG8R:1:1101:7379:4107,301,5061
M04071:134:000000000-BLG8R:1:1101:16566:4133,302,5661
M04071:134:000000000-BLG8R:1:1101:9201:4141,278,5061
M04071:134:000000000-BLG8R:1:1101:14549:4194,302,5661
M04071:134:000000000-BLG8R:1:1101:11606:4197,301,5061
M04071:134:000000000-BLG8R:1:1101:10858:4201,300,5061
M04071:134:000000000-BLG8R:1:1101:9345:4248,298,5061
M04071:134:000000000-BLG8R:1:1101:19884:4256,300,5061
M04071:134:000000000-BLG8R:1:1101:10989:4256,301,5661
M04071:134:000000000-BLG8R:1:1101:19713:4270,299,5061
M04071:134:000000000-BLG8R:1:1101:7684:4320,94,57975
M04071:134:000000000-BLG8R:1:1101:17315:4384,301,57975
M04071:134:000000000-BLG8R:1:1101:9687:4466,302,5661
M04071:134:000000000-BLG8R:1:1101:6928:4490,301,5661
M04071:134:000000000-BLG8R:1:1101:9153:4492,302,5661
M04071:134:000000000-BLG8R:1:1101:14891:4508,301,5061
M04071:134:000000000-BLG8R:1:1101:19613:4527,300,5661
M04071:134:000000000-BLG8R:1:1101:18559:4556,302,5661
M04071:134:000000000-BLG8R:1:1101:12229:4584,298,5661
M04071:134:000000000-BLG8R:1:1101:8998:4702,301,5661
M04071:134:000000000-BLG8R:1:1101:24522:4715,301,5061
M04071:134:000000000-BLG8R:1:1101:21989:4723,298,5661
M04071:134:000000000-BLG8R:1:1101:20951:4739,295,5061
M04071:134:000000000-BLG8R:1:1101:17580:4750,302,5661
M04071:134:000000000-BLG8R:1:1101:18800:4756,301,5661
M04071:134:000000000-BLG8R:1:1101:16938:4761,301,5661
M04071:134:000000000-BLG8R:1:1101:6798:4762,302,5061
M04071:134:000000000-BLG8R:1:1101:8591:4808,301,5061
M04071:134:000000000-BLG8R:1:1101:15454:4849,302,5661
M04071:134:000000000-BLG8R:1:1101:23098:4858,298,5061
M04071:134:000000000-BLG8R:1:1101:8831:4937,300,5061
M04071:134:000000000-BLG8R:1:1101:16453:4938,301,5061
M04071:134:000000000-BLG8R:1:1101:12942:4945,302,5661
M04071:134:000000000-BLG8R:1:1101:11281:4972,302,5661
M04071:134:000000000-BLG8R:1:1101:13051:4984,302,5661
M04071:134:000000000-BLG8R:1:1101:6704:4994,276,5661
M04071:134:000000000-BLG8R:1:1101:15894:5059,301,85698
M04071:134:000000000-BLG8R:1:1101:15536:5062,221,11029
M04071:134:000000000-BLG8R:1:1101:13247:5072,300,5661
M04071:134:000000000-BLG8R:1:1101:13925:5137,301,5661
M04071:134:000000000-BLG8R:1:1101:19458:5201,300,5061
M04071:134:000000000-BLG8R:1:1101:12515:5228,300,5061
M04071:134:000000000-BLG8R:1:1101:8537:5237,86,5661
M04071:134:000000000-BLG8R:1:1101:12871:5249,299,5061
M04071:134:000000000-BLG8R:1:1101:24267:5249,301,5061
M04071:134:000000000-BLG8R:1:1101:6196:5282,302,5061
M04071:134:000000000-BLG8R:1:1101:23318:5284,300,57975
M04071:134:000000000-BLG8R:1:1101:16685:5291,302,5661
M04071:134:000000000-BLG8R:1:1101:21061:5339,302,57975
M04071:134:000000000-BLG8R:1:1101:18307:5409,302,5061
M04071:134:000000000-BLG8R:1:1101:17327:5441,300,5061
M04071:134:000000000-BLG8R:1:1101:13698:5458,302,57975
M04071:134:000000000-BLG8R:1:1101:13062:5472,302,5061
M04071:134:000000000-BLG8R:1:1101:10504:5481,300,57975
M04071:134:000000000-BLG8R:1:1101:10710:5489,302,5661
M04071:134:000000000-BLG8R:1:1101:9168:5497,302,5061
M04071:134:000000000-BLG8R:1:1101:11067:5501,301,11029
M04071:134:000000000-BLG8R:1:1101:5849:5535,301,57975
M04071:134:000000000-BLG8R:1:1101:14238:5541,297,5661
M04071:134:000000000-BLG8R:1:1101:21214:5596,299,5061
M04071:134:000000000-BLG8R:1:1101:23135:5612,302,5661
M04071:134:000000000-BLG8R:1:1101:10428:5650,301,5061
M04071:134:000000000-BLG8R:1:1101:12243:5660,302,5661
M04071:134:000000000-BLG8R:1:1101:13417:5672,301,5661
M04071:134:000000000-BLG8R:1:1101:17357:5675,301,5661
M04071:134:000000000-BLG8R:1:1101:13651:5677,301,5661
M04071:134:000000000-BLG8R:1:1101:16679:5708,301,5061
M04071:134:000000000-BLG8R:1:1101:9143:5723,301,5061
M04071:134:000000000-BLG8R:1:1101:17024:5738,274,5061
M04071:134:000000000-BLG8R:1:1101:20518:5755,302,57975
M04071:134:000000000-BLG8R:1:1101:11696:5779,301,5661
M04071:134:000000000-BLG8R:1:1101:11412:5797,301,5661
M04071:134:000000000-BLG8R:1:1101:16393:5815,300,5661
M04071:134:000000000-BLG8R:1:1101:11690:5837,300,5061
M04071:134:000000000-BLG8R:1:1101:18478:5860,287,5061
M04071:134:000000000-BLG8R:1:1101:22399:5864,302,5661
M04071:134:000000000-BLG8R:1:1101:13035:5872,300,57975
M04071:134:000000000-BLG8R:1:1101:19848:5915,302,5061
M04071:134:000000000-BLG8R:1:1101:15474:5916,301,5061
M04071:134:000000000-BLG8R:1:1101:16737:5919,302,57975
M04071:134:000000000-BLG8R:1:1101:22255:5919,302,5061
M04071:134:000000000-BLG8R:1:1101:7786:5921,301,5661
M04071:134:000000000-BLG8R:1:1101:21677:5975,301,5661
M04071:134:000000000-BLG8R:1:1101:16217:5986,298,5061
M04071:134:000000000-BLG8R:1:1101:8591:5996,302,5061
M04071:134:000000000-BLG8R:1:1101:18971:6009,300,5661
M04071:134:000000000-BLG8R:1:1101:19616:6012,298,5661
M04071:134:000000000-BLG8R:1:1101:13706:6017,300,5061
M04071:134:000000000-BLG8R:1:1101:16631:6024,302,5061
M04071:134:000000000-BLG8R:1:1101:8350:6059,301,11029
M04071:134:000000000-BLG8R:1:1101:7113:6132,301,57975
M04071:134:000000000-BLG8R:1:1101:11658:6152,302,5661
M04071:134:000000000-BLG8R:1:1101:25576:6172,301,57975
M04071:134:000000000-BLG8R:1:1101:8510:6218,302,5661
M04071:134:000000000-BLG8R:1:1101:22738:6227,301,5661
M04071:134:000000000-BLG8R:1:1101:15019:6239,301,5061
M04071:134:000000000-BLG8R:1:1101:6214:6260,299,5661
M04071:134:000000000-BLG8R:1:1101:18029:6273,301,5061
M04071:134:000000000-BLG8R:1:1101:20860:6287,301,5061
M04071:134:000000000-BLG8R:1:1101:16793:6323,282,5661
M04071:134:000000000-BLG8R:1:1101:24108:6323,301,5661
M04071:134:000000000-BLG8R:1:1101:6903:6325,300,57975
M04071:134:000000000-BLG8R:1:1101:21097:6333,301,5061
M04071:134:000000000-BLG8R:1:1101:11334:6336,298,263
M04071:134:000000000-BLG8R:1:1101:14128:6338,302,5061
M04071:134:000000000-BLG8R:1:1101:15144:6344,301,5061
M04071:134:000000000-BLG8R:1:1101:15233:6410,301,5661
M04071:134:000000000-BLG8R:1:1101:13049:6417,302,5061
M04071:134:000000000-BLG8R:1:1101:10028:6436,302,5061
M04071:134:000000000-BLG8R:1:1101:17655:6444,301,57975
M04071:134:000000000-BLG8R:1:1101:25324:6457,301,57975
M04071:134:000000000-BLG8R:1:1101:6003:6492,302,5061
M04071:134:000000000-BLG8R:1:1101:16219:6512,302,5061
M04071:134:000000000-BLG8R:1:1101:21439:6523,302,5661
M04071:134:000000000-BLG8R:1:1101:13407:6527,300,5661
M04071:134:000000000-BLG8R:1:1101:21963:6532,301,5061
M04071:134:000000000-BLG8R:1:1101:10129:6539,300,5661
M04071:134:000000000-BLG8R:1:1101:17459:6542,300,5061
M04071:134:000000000-BLG8R:1:1101:11408:6558,302,5661
M04071:134:000000000-BLG8R:1:1101:23167:6593,284,5661
M04071:134:000000000-BLG8R:1:1101:17988:6613,300,5061
M04071:134:000000000-BLG8R:1:1101:22567:6622,302,57975
M04071:134:000000000-BLG8R:1:1101:24141:6622,302,5661
M04071:134:000000000-BLG8R:1:1101:18212:6635,301,5061
M04071:134:000000000-BLG8R:1:1101:11027:6661,297,5061
M04071:134:000000000-BLG8R:1:1101:6976:6697,192,5661
M04071:134:000000000-BLG8R:1:1101:20548:6731,299,5061
M04071:134:000000000-BLG8R:1:1101:17354:6737,301,5061
M04071:134:000000000-BLG8R:1:1101:8410:6739,302,5061
M04071:134:000000000-BLG8R:1:1101:18200:6743,190,11029
M04071:134:000000000-BLG8R:1:1101:23675:6750,302,5061
M04071:134:000000000-BLG8R:1:1101:17784:6822,302,5061
M04071:134:000000000-BLG8R:1:1101:6289:6870,302,5661
M04071:134:000000000-BLG8R:1:1101:20089:6882,301,5061
M04071:134:000000000-BLG8R:1:1101:16232:6887,301,5661
M04071:134:000000000-BLG8R:1:1101:11448:6892,300,5661
M04071:134:000000000-BLG8R:1:1101:21006:6910,300,5061
M04071:134:000000000-BLG8R:1:1101:22756:6914,301,5661
M04071:134:000000000-BLG8R:1:1101:23151:6935,302,5661
M04071:134:000000000-BLG8R:1:1101:17598:6966,302,57975
M04071:134:000000000-BLG8R:1:1101:16678:7010,197,11029
M04071:134:000000000-BLG8R:1:1101:24612:7020,301,5061
M04071:134:000000000-BLG8R:1:1101:8656:7020,300,5061
M04071:134:000000000-BLG8R:1:1101:16399:7035,300,5661
M04071:134:000000000-BLG8R:1:1101:23761:7035,302,5661
M04071:134:000000000-BLG8R:1:1101:13009:7051,301,5661
M04071:134:000000000-BLG8R:1:1101:11682:7059,301,5061
M04071:134:000000000-BLG8R:1:1101:25301:7091,301,57975
M04071:134:000000000-BLG8R:1:1101:15857:7095,301,5661
M04071:134:000000000-BLG8R:1:1101:26752:7118,302,5661
M04071:134:000000000-BLG8R:1:1101:20658:7128,302,5661
M04071:134:000000000-BLG8R:1:1101:26449:7140,301,5661
M04071:134:000000000-BLG8R:1:1101:5568:7142,299,5061
M04071:134:000000000-BLG8R:1:1101:12338:7150,301,5661
M04071:134:000000000-BLG8R:1:1101:12930:7163,302,57975
M04071:134:000000000-BLG8R:1:1101:24429:7172,301,5061
M04071:134:000000000-BLG8R:1:1101:9663:7191,302,5661
M04071:134:000000000-BLG8R:1:1101:15964:7206,302,57975
M04071:134:000000000-BLG8R:1:1101:13160:7222,302,5061
M04071:134:000000000-BLG8R:1:1101:12057:7236,302,5061
M04071:134:000000000-BLG8R:1:1101:19515:7247,302,5661
M04071:134:000000000-BLG8R:1:1101:8535:7251,302,5661
M04071:134:000000000-BLG8R:1:1101:18847:7252,298,5061
M04071:134:000000000-BLG8R:1:1101:8431:7252,301,5061
M04071:134:000000000-BLG8R:1:1101:13668:7320,301,5661
M04071:134:000000000-BLG8R:1:1101:21693:7329,302,5061
M04071:134:000000000-BLG8R:1:1101:4455:7344,302,5061
M04071:134:000000000-BLG8R:1:1101:25569:7349,270,5661
M04071:134:000000000-BLG8R:1:1101:7390:7362,301,5661
M04071:134:000000000-BLG8R:1:1101:12749:7373,295,5061
M04071:134:000000000-BLG8R:1:1101:13778:7400,302,5061
M04071:134:000000000-BLG8R:1:1101:17786:7409,301,632
M04071:134:000000000-BLG8R:1:1101:4346:7411,172,5661
M04071:134:000000000-BLG8R:1:1101:26889:7422,302,5061
M04071:134:000000000-BLG8R:1:1101:11782:7431,266,5661
M04071:134:000000000-BLG8R:1:1101:9461:7442,301,57975
M04071:134:000000000-BLG8R:1:1101:12312:7448,302,11029
M04071:134:000000000-BLG8R:1:1101:10144:7479,301,5661
M04071:134:000000000-BLG8R:1:1101:9238:7508,300,5061
M04071:134:000000000-BLG8R:1:1101:6534:7513,302,5061
M04071:134:000000000-BLG8R:1:1101:15662:7535,300,5661
M04071:134:000000000-BLG8R:1:1101:19269:7568,300,5061
M04071:134:000000000-BLG8R:1:1101:22490:7572,297,5661
M04071:134:000000000-BLG8R:1:1101:15342:7587,300,5061
M04071:134:000000000-BLG8R:1:1101:9253:7591,302,5661
M04071:134:000000000-BLG8R:1:1101:8931:7603,302,5061
M04071:134:000000000-BLG8R:1:1101:7486:7619,302,5061
M04071:134:000000000-BLG8R:1:1101:8918:7632,301,5061
M04071:134:000000000-BLG8R:1:1101:6023:7634,301,5061
M04071:134:000000000-BLG8R:1:1101:11366:7634,302,5661
M04071:134:000000000-BLG8R:1:1101:12246:7638,301,11029
M04071:134:000000000-BLG8R:1:1101:14108:7655,301,5061
M04071:134:000000000-BLG8R:1:1101:12962:7682,302,5661
M04071:134:000000000-BLG8R:1:1101:16493:7696,302,5661
M04071:134:000000000-BLG8R:1:1101:6463:7731,301,5661
M04071:134:000000000-BLG8R:1:1101:6331:7761,262,5661
M04071:134:000000000-BLG8R:1:1101:19438:7765,302,5661
M04071:134:000000000-BLG8R:1:1101:27018:7774,302,5061
M04071:134:000000000-BLG8R:1:1101:26815:7806,302,5061
M04071:134:000000000-BLG8R:1:1101:20102:7812,301,5061
M04071:134:000000000-BLG8R:1:1101:25680:7817,301,5061
M04071:134:000000000-BLG8R:1:1101:5733:7869,300,5061
M04071:134:000000000-BLG8R:1:1101:12275:7873,302,5661
M04071:134:000000000-BLG8R:1:1101:27537:7904,301,5061
M04071:134:000000000-BLG8R:1:1101:16849:7935,302,5061
M04071:134:000000000-BLG8R:1:1101:17556:7942,302,5661
M04071:134:000000000-BLG8R:1:1101:12852:7952,302,5661
M04071:134:000000000-BLG8R:1:1101:18646:7952,301,5661
M04071:134:000000000-BLG8R:1:1101:21891:7959,302,5061
M04071:134:000000000-BLG8R:1:1101:9597:7961,302,5061
M04071:134:000000000-BLG8R:1:1101:5262:8003,302,5661
M04071:134:000000000-BLG8R:1:1101:10243:8023,301,5061
M04071:134:000000000-BLG8R:1:1101:26965:8024,226,585
M04071:134:000000000-BLG8R:1:1101:5760:8024,302,5061
M04071:134:000000000-BLG8R:1:1101:11100:8025,302,5061
M04071:134:000000000-BLG8R:1:1101:22258:8056,299,57975
M04071:134:000000000-BLG8R:1:1101:19665:8068,301,5061
M04071:134:000000000-BLG8R:1:1101:22905:8071,294,5661
M04071:134:000000000-BLG8R:1:1101:14463:8139,290,5661
M04071:134:000000000-BLG8R:1:1101:5673:8143,300,5661
M04071:134:000000000-BLG8R:1:1101:11039:8149,299,5661
M04071:134:000000000-BLG8R:1:1101:18808:8176,301,57975
M04071:134:000000000-BLG8R:1:1101:11456:8178,301,5061
M04071:134:000000000-BLG8R:1:1101:7972:8190,300,57975
M04071:134:000000000-BLG8R:1:1101:23764:8210,302,5061
M04071:134:000000000-BLG8R:1:1101:4416:8251,301,5061
M04071:134:000000000-BLG8R:1:1101:8152:8252,302,632
M04071:134:000000000-BLG8R:1:1101:27077:8257,300,57975
M04071:134:000000000-BLG8R:1:1101:22433:8296,300,5061
M04071:134:000000000-BLG8R:1:1101:14480:8305,300,5061
M04071:134:000000000-BLG8R:1:1101:10633:8308,302,5661
M04071:134:000000000-BLG8R:1:1101:6038:8318,302,5061
M04071:134:000000000-BLG8R:1:1101:24655:8332,299,57975
M04071:134:000000000-BLG8R:1:1101:4346:8363,234,5661
M04071:134:000000000-BLG8R:1:1101:6944:8410,302,5661
