Object_ID, Length, Assignment
M04071:134:000000000-BLG8R:1:1101:14810:2115,302,5061
M04071:134:000000000-BLG8R:1:1101:15784:2270,194,5661
M04071:134:000000000-BLG8R:1:1101:11013:2476,302,5061
M04071:134:000000000-BLG8R:1:1101:20276:2486,301,5061
M04071:134:000000000-BLG8R:1:1101:18275:2732,299,5061
M04071:134:000000000-BLG8R:1:1101:19747:3000,300,5661
M04071:134:000000000-BLG8R:1:1101:19910:3123,302,5661
M04071:134:000000000-BLG8R:1:1101:18205:3833,302,5661
M04071:134:000000000-BLG8R:1:1101:18102:3965,301,5661
M04071:134:000000000-BLG8R:1:1101:13282:4237,294,5061
M04071:134:000000000-BLG8R:1:1101:12359:4305,280,5061
M04071:134:000000000-BLG8R:1:1101:9053:4372,301,5661
M04071:134:000000000-BLG8R:1:1101:7938:4430,302,5661
M04071:134:000000000-BLG8R:1:1101:14739:4746,302,5661
M04071:134:000000000-BLG8R:1:1101:9637:4759,302,5661
M04071:134:000000000-BLG8R:1:1101:19705:4948,302,5661
M04071:134:000000000-BLG8R:1:1101:19226:5007,301,5061
M04071:134:000000000-BLG8R:1:1101:10752:5240,302,5661
M04071:134:000000000-BLG8R:1:1101:24651:5263,302,5061
M04071:134:000000000-BLG8R:1:1101:15630:5281,301,5661
M04071:134:000000000-BLG8R:1:1101:13734:5401,264,5661
M04071:134:000000000-BLG8R:1:1101:8649:5536,301,5061
M04071:134:000000000-BLG8R:1:1101:5892:5596,300,5661
M04071:134:000000000-BLG8R:1:1101:16688:5810,302,5061
M04071:134:000000000-BLG8R:1:1101:25982:5932,301,5661
M04071:134:000000000-BLG8R:1:1101:13329:5946,302,5061
M04071:134:000000000-BLG8R:1:1101:11178:6205,301,5061
M04071:134:000000000-BLG8R:1:1101:12702:6364,301,5061
M04071:134:000000000-BLG8R:1:1101:24776:6370,298,5661
M04071:134:000000000-BLG8R:1:1101:8460:6730,301,5661
M04071:134:000000000-BLG8R:1:1101:9632:6765,300,5661
M04071:134:000000000-BLG8R:1:1101:10033:6998,302,5661
M04071:134:000000000-BLG8R:1:1101:16041:7042,302,5061
M04071:134:000000000-BLG8R:1:1101:9716:7060,300,5061
M04071:134:000000000-BLG8R:1:1101:16742:7156,300,11029
M04071:134:000000000-BLG8R:1:1101:5057:7602,298,5661
M04071:134:000000000-BLG8R:1:1101:14113:7962,302,5661
M04071:134:000000000-BLG8R:1:1101:14335:7979,301,5661
M04071:134:000000000-BLG8R:1:1101:10969:8097,299,5061
M04071:134:000000000-BLG8R:1:1101:26417:8197,302,5061
M04071:134:000000000-BLG8R:1:1101:17682:8210,298,5661
M04071:134:000000000-BLG8R:1:1101:8508:8242,300,5061
M04071:134:000000000-BLG8R:1:1101:26123:8284,302,5061
M04071:134:000000000-BLG8R:1:1101:16331:8389,266,5661
M04071:134:000000000-BLG8R:1:1101:9182:8392,301,5061
M04071:134:000000000-BLG8R:1:1101:22835:8479,302,5061
M04071:134:000000000-BLG8R:1:1101:18703:8552,302,5661
M04071:134:000000000-BLG8R:1:1101:4720:8557,302,5661
M04071:134:000000000-BLG8R:1:1101:14834:8897,300,5061
M04071:134:000000000-BLG8R:1:1101:13898:8950,298,5661
M04071:134:000000000-BLG8R:1:1101:22782:9061,297,5061
M04071:134:000000000-BLG8R:1:1101:18494:9095,301,5061
M04071:134:000000000-BLG8R:1:1101:15294:9155,300,5061
M04071:134:000000000-BLG8R:1:1101:9810:9269,300,5061
M04071:134:000000000-BLG8R:1:1101:10311:9356,302,5661
M04071:134:000000000-BLG8R:1:1101:7813:9576,301,5061
M04071:134:000000000-BLG8R:1:1101:22052:9647,300,5061
M04071:134:000000000-BLG8R:1:1101:9702:9708,299,5061
M04071:134:000000000-BLG8R:1:1101:7919:9792,301,5061
M04071:134:000000000-BLG8R:1:1101:7106:9814,302,5661
M04071:134:000000000-BLG8R:1:1101:4509:9902,302,5661
M04071:134:000000000-BLG8R:1:1101:16790:9985,301,5061
M04071:134:000000000-BLG8R:1:1101:10195:10374,300,5061
M04071:134:000000000-BLG8R:1:1101:18352:10440,301,5061
M04071:134:000000000-BLG8R:1:1101:19597:10449,302,5061
M04071:134:000000000-BLG8R:1:1101:19591:10498,302,5061
M04071:134:000000000-BLG8R:1:1101:15048:10539,301,11029
M04071:134:000000000-BLG8R:1:1101:7012:10545,302,5061
M04071:134:000000000-BLG8R:1:1101:16741:10570,299,470
M04071:134:000000000-BLG8R:1:1101:18095:10584,301,5061
M04071:134:000000000-BLG8R:1:1101:20845:10740,302,5061
M04071:134:000000000-BLG8R:1:1101:10389:10854,299,5061
M04071:134:000000000-BLG8R:1:1101:10608:10892,301,5061
M04071:134:000000000-BLG8R:1:1101:4864:10920,301,5061
M04071:134:000000000-BLG8R:1:1101:8490:10969,301,5661
M04071:134:000000000-BLG8R:1:1101:10030:11125,70,5661
M04071:134:000000000-BLG8R:1:1101:6017:11176,300,5061
M04071:134:000000000-BLG8R:1:1101:4399:11397,285,11029
M04071:134:000000000-BLG8R:1:1101:7778:11415,300,11029
M04071:134:000000000-BLG8R:1:1101:10067:11447,302,5061
M04071:134:000000000-BLG8R:1:1101:16776:11464,302,5061
M04071:134:000000000-BLG8R:1:1101:25764:11494,299,5061
M04071:134:000000000-BLG8R:1:1101:23900:11536,300,5061
M04071:134:000000000-BLG8R:1:1101:19312:11679,186,5661
M04071:134:000000000-BLG8R:1:1101:27360:11759,301,5061
M04071:134:000000000-BLG8R:1:1101:20589:11857,302,5661
M04071:134:000000000-BLG8R:1:1101:10007:11878,300,5661
M04071:134:000000000-BLG8R:1:1101:12998:11904,301,5061
M04071:134:000000000-BLG8R:1:1101:24156:11921,301,5061
M04071:134:000000000-BLG8R:1:1101:22369:11983,302,5661
M04071:134:000000000-BLG8R:1:1101:15547:12077,302,5061
M04071:134:000000000-BLG8R:1:1101:8380:12090,300,5061
M04071:134:000000000-BLG8R:1:1101:7524:12134,301,5661
M04071:134:000000000-BLG8R:1:1101:21004:12147,301,5061
M04071:134:000000000-BLG8R:1:1101:25862:12259,302,5661
M04071:134:000000000-BLG8R:1:1101:22311:12265,302,5661
M04071:134:000000000-BLG8R:1:1101:8162:12314,301,5061
M04071:134:000000000-BLG8R:1:1101:7978:12397,300,5061
M04071:134:000000000-BLG8R:1:1101:8868:12489,300,5061
M04071:134:000000000-BLG8R:1:1101:14974:12544,298,5661
M04071:134:000000000-BLG8R:1:1101:20359:12605,302,5661
M04071:134:000000000-BLG8R:1:1101:27366:12618,299,5661
M04071:134:000000000-BLG8R:1:1101:5611:12623,300,5061
M04071:134:000000000-BLG8R:1:1101:25792:12764,301,5661
M04071:134:000000000-BLG8R:1:1101:22952:12769,302,5061
M04071:134:000000000-BLG8R:1:1101:23225:12808,106,5061
M04071:134:000000000-BLG8R:1:1101:22690:12889,302,5661
M04071:134:000000000-BLG8R:1:1101:9278:13105,300,5061
M04071:134:000000000-BLG8R:1:1101:16385:13154,302,5061
M04071:134:000000000-BLG8R:1:1101:16906:13206,301,5661
M04071:134:000000000-BLG8R:1:1101:19095:13287,301,5661
M04071:134:000000000-BLG8R:1:1101:11623:13331,300,5661
M04071:134:000000000-BLG8R:1:1101:24385:13372,301,5661
M04071:134:000000000-BLG8R:1:1101:8456:13402,302,11029
M04071:134:000000000-BLG8R:1:1101:19011:13409,302,5661
M04071:134:000000000-BLG8R:1:1101:17243:13573,114,5661
M04071:134:000000000-BLG8R:1:1101:2791:13931,301,5061
M04071:134:000000000-BLG8R:1:1101:5541:14111,302,5061
M04071:134:000000000-BLG8R:1:1101:9672:14165,300,5661
M04071:134:000000000-BLG8R:1:1101:11976:14301,301,5661
M04071:134:000000000-BLG8R:1:1101:24088:14377,301,5661
M04071:134:000000000-BLG8R:1:1101:13607:14887,302,5061
M04071:134:000000000-BLG8R:1:1101:15420:14988,301,5061
M04071:134:000000000-BLG8R:1:1101:19903:15050,301,5661
M04071:134:000000000-BLG8R:1:1101:4609:15093,302,5061
M04071:134:000000000-BLG8R:1:1101:17638:15148,298,5061
M04071:134:000000000-BLG8R:1:1101:18543:15221,300,5661
M04071:134:000000000-BLG8R:1:1101:15248:15242,301,5661
M04071:134:000000000-BLG8R:1:1101:21242:15255,302,5661
M04071:134:000000000-BLG8R:1:1101:18708:15267,302,5661
M04071:134:000000000-BLG8R:1:1101:3083:15277,302,5061
M04071:134:000000000-BLG8R:1:1101:28022:15585,302,5661
M04071:134:000000000-BLG8R:1:1101:7141:15634,301,5061
M04071:134:000000000-BLG8R:1:1101:19288:15672,298,5661
M04071:134:000000000-BLG8R:1:1101:17913:15736,301,5061
M04071:134:000000000-BLG8R:1:1101:2496:15750,302,5061
M04071:134:000000000-BLG8R:1:1101:3112:15756,302,5661
M04071:134:000000000-BLG8R:1:1101:21891:15853,302,5661
M04071:134:000000000-BLG8R:1:1101:17368:16144,298,632
M04071:134:000000000-BLG8R:1:1101:3775:16151,302,5061
