Object_ID, Length, Assignment
M04071:134:000000000-BLG8R:1:1101:17794:2051,301,5061
M04071:134:000000000-BLG8R:1:1101:18890:2114,300,5661
M04071:134:000000000-BLG8R:1:1101:12087:2129,302,5661
M04071:134:000000000-BLG8R:1:1101:19039:2130,301,632
M04071:134:000000000-BLG8R:1:1101:14091:2181,282,5661
M04071:134:000000000-BLG8R:1:1101:16950:2230,301,5661
M04071:134:000000000-BLG8R:1:1101:19269:2302,301,5661
M04071:134:000000000-BLG8R:1:1101:10957:2312,301,5661
M04071:134:000000000-BLG8R:1:1101:16926:2353,102,57975
M04071:134:000000000-BLG8R:1:1101:12038:2361,302,5061
M04071:134:000000000-BLG8R:1:1101:18858:2391,172,5661
M04071:134:000000000-BLG8R:1:1101:11208:2401,292,5661
M04071:134:000000000-BLG8R:1:1101:16137:2403,302,5061
M04071:134:000000000-BLG8R:1:1101:12845:2410,302,5061
M04071:134:000000000-BLG8R:1:1101:12605:2419,300,5661
M04071:134:000000000-BLG8R:1:1101:11809:2470,301,5661
M04071:134:000000000-BLG8R:1:1101:15698:2481,301,5661
M04071:134:000000000-BLG8R:1:1101:16070:2499,302,5061
M04071:134:000000000-BLG8R:1:1101:10117:2535,300,5661
M04071:134:000000000-BLG8R:1:1101:20827:2560,301,5061
M04071:134:000000000-BLG8R:1:1101:15622:2568,302,5661
M04071:134:000000000-BLG8R:1:1101:21307:2573,302,5061
M04071:134:000000000-BLG8R:1:1101:16471:2583,302,5061
M04071:134:000000000-BLG8R:1:1101:11669:2622,301,263
M04071:134:000000000-BLG8R:1:1101:17181:2641,301,57975
M04071:134:000000000-BLG8R:1:1101:15949:2697,302,5061
M04071:134:000000000-BLG8R:1:1101:10163:2717,302,5661
M04071:134:000000000-BLG8R:1:1101:12452:2725,302,5061
M04071:134:000000000-BLG8R:1:1101:10669:2764,301,5661
M04071:134:000000000-BLG8R:1:1101:11381:2796,302,5661
M04071:134:000000000-BLG8R:1:1101:15344:2820,300,5661
M04071:134:000000000-BLG8R:1:1101:21619:2835,301,5661
M04071:134:000000000-BLG8R:1:1101:17038:2839,302,5061
M04071:134:000000000-BLG8R:1:1101:14096:2861,301,5061
M04071:134:000000000-BLG8R:1:1101:10233:2879,301,5661
M04071:134:000000000-BLG8R:1:1101:15160:2881,301,263
M04071:134:000000000-BLG8R:1:1101:18774:2910,301,5661
M04071:134:000000000-BLG8R:1:1101:14596:2918,301,5661
M04071:134:000000000-BLG8R:1:1101:15898:2954,298,5061
M04071:134:000000000-BLG8R:1:1101:10313:2956,178,585
M04071:134:000000000-BLG8R:1:1101:10540:2970,301,5061
M04071:134:000000000-BLG8R:1:1101:13963:2970,301,57975
M04071:134:000000000-BLG8R:1:1101:15435:2984,90,5661
M04071:134:000000000-BLG8R:1:1101:9124:3006,301,5661
M04071:134:000000000-BLG8R:1:1101:14372:3035,302,5061
M04071:134:000000000-BLG8R:1:1101:18301:3059,302,5061
M04071:134:000000000-BLG8R:1:1101:21362:3070,78,5661
M04071:134:000000000-BLG8R:1:1101:11836:3087,301,5661
M04071:134:000000000-BLG8R:1:1101:11899:3089,301,57975
M04071:134:000000000-BLG8R:1:1101:15114:3096,190,5661
M04071:134:000000000-BLG8R:1:1101:16504:3112,300,5661
M04071:134:000000000-BLG8R:1:1101:9119:3119,254,5061
M04071:134:000000000-BLG8R:1:1101:11276:3142,302,5661
M04071:134:000000000-BLG8R:1:1101:10277:3155,302,5061
M04071:134:000000000-BLG8R:1:1101:20067:3185,302,5661
M04071:134:000000000-BLG8R:1:1101:15208:3197,300,5661
M04071:134:000000000-BLG8R:1:1101:10193:3204,302,5061
M04071:134:000000000-BLG8R:1:1101:21029:3242,302,5661
M04071:134:000000000-BLG8R:1:1101:14628:3252,280,5661
M04071:134:000000000-BLG8R:1:1101:17018:3256,301,5061
M04071:134:000000000-BLG8R:1:1101:16216:3303,302,5661
M04071:134:000000000-BLG8R:1:1101:11998:3315,302,263
M04071:134:000000000-BLG8R:1:1101:15900:3348,301,5661
M04071:134:000000000-BLG8R:1:1101:11014:3364,300,5061
M04071:134:000000000-BLG8R:1:1101:14080:3368,300,5061
M04071:134:000000000-BLG8R:1:1101:9427:3376,299,5661
M04071:134:000000000-BLG8R:1:1101:16600:3405,302,5661
M04071:134:000000000-BLG8R:1:1101:19062:3413,302,5661
M04071:134:000000000-BLG8R:1:1101:9323:3423,300,5061
M04071:134:000000000-BLG8R:1:1101:19247:3425,301,11029
M04071:134:000000000-BLG8R:1:1101:10666:3431,302,5661
M04071:134:000000000-BLG8R:1:1101:16120:3450,301,57975
M04071:134:000000000-BLG8R:1:1101:12299:3454,299,5661
M04071:134:000000000-BLG8R:1:1101:19235:3460,299,5061
M04071:134:000000000-BLG8R:1:1101:11174:3471,301,5661
M04071:134:000000000-BLG8R:1:1101:20804:3509,302,5661
M04071:134:000000000-BLG8R:1:1101:16897:3515,301,5661
M04071:134:000000000-BLG8R:1:1101:22221:3659,216,11029
M04071:134:000000000-BLG8R:1:1101:11339:3669,301,57975
M04071:134:000000000-BLG8R:1:1101:10304:3700,302,11029
M04071:134:000000000-BLG8R:1:1101:10774:3732,300,5661
M04071:134:000000000-BLG8R:1:1101:14074:3758,302,5061
M04071:134:000000000-BLG8R:1:1101:9339:3767,294,5661
M04071:134:000000000-BLG8R:1:1101:12487:3805,301,5061
M04071:134:000000000-BLG8R:1:1101:9253:3816,302,5061
M04071:134:000000000-BLG8R:1:1101:19041:3838,284,5061
M04071:134:000000000-BLG8R:1:1101:19071:3842,301,5661
M04071:134:000000000-BLG8R:1:1101:14569:3849,302,5661
M04071:134:000000000-BLG8R:1:1101:21824:3850,302,5061
M04071:134:000000000-BLG8R:1:1101:9563:3871,300,5661
M04071:134:000000000-BLG8R:1:1101:10461:3900,302,5661
M04071:134:000000000-BLG8R:1:1101:23162:3906,300,57975
M04071:134:000000000-BLG8R:1:1101:19042:3959,301,5661
M04071:134:000000000-BLG8R:1:1101:15256:3975,302,5661
M04071:134:000000000-BLG8R:1:1101:11270:3982,302,5661
M04071:134:000000000-BLG8R:1:1101:23507:3983,301,5061
M04071:134:000000000-BLG8R:1:1101:11446:3992,301,57975
M04071:134:000000000-BLG8R:1:1101:10570:4014,301,5661
M04071:134:000000000-BLG8R:1:1101:9804:4014,300,5061
M04071:134:000000000-BLG8R:1:1101:14213:4026,301,5661
M04071:134:000000000-BLG8R:1:1101:13957:4035,301,5061
M04071:134:000000000-BLG8R:1:1101:23923:4049,302,5661
M04071:134:000000000-BLG8R:1:1101:9267:4055,298,5061
M04071:134:000000000-BLG8R:1:1101:12681:4074,301,5061
M04071:134:000000000-BLG8R:1:1101:16777:4107,302,5061
M04071:134:000000000-BLG8R:1:1101:8146:4115,302,5661
M04071:134:000000000-BLG8R:1:1101:9306:4147,300,5061
M04071:134:000000000-BLG8R:1:1101:24026:4186,302,57975
M04071:134:000000000-BLG8R:1:1101:8494:4201,301,5661
M04071:134:000000000-BLG8R:1:1101:17673:4205,301,5061
M04071:134:000000000-BLG8R:1:1101:9304:4212,299,5061
M04071:134:000000000-BLG8R:1:1101:9389:4226,302,1484157
M04071:134:000000000-BLG8R:1:1101:22330:4230,299,5661
M04071:134:000000000-BLG8R:1:1101:17744:4244,302,562
M04071:134:000000000-BLG8R:1:1101:13466:4296,302,5661
M04071:134:000000000-BLG8R:1:1101:16269:4306,298,5061
M04071:134:000000000-BLG8R:1:1101:21494:4307,302,5661
M04071:134:000000000-BLG8R:1:1101:9277:4311,302,5661
M04071:134:000000000-BLG8R:1:1101:18293:4317,301,5661
M04071:134:000000000-BLG8R:1:1101:17976:4364,300,5661
M04071:134:000000000-BLG8R:1:1101:20433:4380,301,5661
M04071:134:000000000-BLG8R:1:1101:10822:4400,299,5661
M04071:134:000000000-BLG8R:1:1101:15780:4405,301,5061
M04071:134:000000000-BLG8R:1:1101:21561:4422,301,5061
M04071:134:000000000-BLG8R:1:1101:9682:4424,301,5061
M04071:134:000000000-BLG8R:1:1101:11969:4436,302,57975
M04071:134:000000000-BLG8R:1:1101:12241:4437,300,5661
M04071:134:000000000-BLG8R:1:1101:18528:4449,118,57975
M04071:134:000000000-BLG8R:1:1101:23256:4459,248,5061
M04071:134:000000000-BLG8R:1:1101:10969:4460,301,5661
M04071:134:000000000-BLG8R:1:1101:14368:4497,302,5061
M04071:134:000000000-BLG8R:1:1101:8228:4520,302,5661
M04071:134:000000000-BLG8R:1:1101:8213:4531,296,5061
M04071:134:000000000-BLG8R:1:1101:18101:4558,302,5661
M04071:134:000000000-BLG8R:1:1101:13455:4559,301,57975
M04071:134:000000000-BLG8R:1:1101:21956:4561,301,5661
M04071:134:000000000-BLG8R:1:1101:11925:4563,302,5661
M04071:134:000000000-BLG8R:1:1101:11639:4592,301,5661
M04071:134:000000000-BLG8R:1:1101:22781:4597,301,57975
M04071:134:000000000-BLG8R:1:1101:10657:4602,302,5061
M04071:134:000000000-BLG8R:1:1101:16871:4623,302,5061
M04071:134:000000000-BLG8R:1:1101:11691:4633,302,5661
M04071:134:000000000-BLG8R:1:1101:23169:4636,302,5061
M04071:134:000000000-BLG8R:1:1101:24302:4655,230,57975
M04071:134:000000000-BLG8R:1:1101:15234:4677,302,5061
M04071:134:000000000-BLG8R:1:1101:10697:4678,301,5661
M04071:134:000000000-BLG8R:1:1101:19192:4719,302,5661
M04071:134:000000000-BLG8R:1:1101:11981:4726,302,57975
M04071:134:000000000-BLG8R:1:1101:14586:4726,301,5661
M04071:134:000000000-BLG8R:1:1101:10986:4747,302,5061
M04071:134:000000000-BLG8R:1:1101:24885:4757,301,57975
M04071:134:000000000-BLG8R:1:1101:19211:4758,301,5661
M04071:134:000000000-BLG8R:1:1101:21719:4763,302,5661
M04071:134:000000000-BLG8R:1:1101:13408:4781,218,5661
M04071:134:000000000-BLG8R:1:1101:6655:4792,300,5061
