Object_ID, Length, Assignment
M04071:132:000000000-BK78J:1:1101:14590:1405,302,1280
M04071:132:000000000-BK78J:1:1101:13492:1540,298,5061
M04071:132:000000000-BK78J:1:1101:17784:1560,154,5661
M04071:132:000000000-BK78J:1:1101:17172:1695,212,11029
M04071:132:000000000-BK78J:1:1101:12520:1724,301,5661
M04071:132:000000000-BK78J:1:1101:14724:1886,296,5061
M04071:132:000000000-BK78J:1:1101:19603:1918,138,5661
M04071:132:000000000-BK78J:1:1101:13947:2080,302,5061
M04071:132:000000000-BK78J:1:1101:17186:2107,301,5061
M04071:132:000000000-BK78J:1:1101:15927:2127,301,1314
M04071:132:000000000-BK78J:1:1101:13130:2148,300,5061
M04071:132:000000000-BK78J:1:1101:13566:2200,298,584
M04071:132:000000000-BK78J:1:1101:17379:2258,224,5661
M04071:132:000000000-BK78J:1:1101:17017:2280,300,5061
M04071:132:000000000-BK78J:1:1101:16454:2298,302,5661
M04071:132:000000000-BK78J:1:1101:15720:2341,301,5061
M04071:132:000000000-BK78J:1:1101:19726:2398,302,5661
M04071:132:000000000-BK78J:1:1101:12878:2409,302,485
M04071:132:000000000-BK78J:1:1101:12106:2432,300,5661
M04071:132:000000000-BK78J:1:1101:13757:2472,301,5061
M04071:132:000000000-BK78J:1:1101:14448:2493,301,5661
M04071:132:000000000-BK78J:1:1101:17361:2505,300,5661
M04071:132:000000000-BK78J:1:1101:12976:2512,302,5061
M04071:132:000000000-BK78J:1:1101:12433:2541,301,5661
M04071:132:000000000-BK78J:1:1101:13003:2566,302,5061
M04071:132:000000000-BK78J:1:1101:18490:2621,298,5061
M04071:132:000000000-BK78J:1:1101:21266:2642,301,5061
M04071:132:000000000-BK78J:1:1101:11671:2660,301,5661
M04071:132:000000000-BK78J:1:1101:12180:2670,302,5061
M04071:132:000000000-BK78J:1:1101:21170:2670,298,5061
M04071:132:000000000-BK78J:1:1101:18316:2686,300,5061
M04071:132:000000000-BK78J:1:1101:18549:2709,301,5061
M04071:132:000000000-BK78J:1:1101:19916:2716,300,5061
M04071:132:000000000-BK78J:1:1101:11449:2741,300,263
M04071:132:000000000-BK78J:1:1101:11435:2745,132,5661
M04071:132:000000000-BK78J:1:1101:20445:2758,302,5661
M04071:132:000000000-BK78J:1:1101:14668:2762,302,5061
M04071:132:000000000-BK78J:1:1101:19500:2784,302,5061
M04071:132:000000000-BK78J:1:1101:11342:2795,302,5061
M04071:132:000000000-BK78J:1:1101:21333:2818,302,5661
M04071:132:000000000-BK78J:1:1101:10753:2827,301,632
M04071:132:000000000-BK78J:1:1101:16662:2852,302,5661
M04071:132:000000000-BK78J:1:1101:12883:2870,226,5061
M04071:132:000000000-BK78J:1:1101:11025:2871,302,5061
M04071:132:000000000-BK78J:1:1101:20813:2872,302,5061
M04071:132:000000000-BK78J:1:1101:13583:2927,302,5661
M04071:132:000000000-BK78J:1:1101:12515:2938,302,5061
M04071:132:000000000-BK78J:1:1101:9829:2999,294,5061
M04071:132:000000000-BK78J:1:1101:10846:3020,301,5661
M04071:132:000000000-BK78J:1:1101:10303:3054,300,5061
M04071:132:000000000-BK78J:1:1101:12173:3119,301,5061
M04071:132:000000000-BK78J:1:1101:11801:3151,301,5661
M04071:132:000000000-BK78J:1:1101:19542:3155,301,5661
M04071:132:000000000-BK78J:1:1101:13501:3172,302,35703
M04071:132:000000000-BK78J:1:1101:12868:3187,301,5061
M04071:132:000000000-BK78J:1:1101:19173:3188,302,5061
M04071:132:000000000-BK78J:1:1101:17002:3195,300,5661
M04071:132:000000000-BK78J:1:1101:16062:3245,301,5061
M04071:132:000000000-BK78J:1:1101:19801:3318,301,5661
M04071:132:000000000-BK78J:1:1101:21036:3319,302,5061
M04071:132:000000000-BK78J:1:1101:20260:3336,301,5661
M04071:132:000000000-BK78J:1:1101:20746:3353,301,5061
M04071:132:000000000-BK78J:1:1101:20649:3365,300,1280
M04071:132:000000000-BK78J:1:1101:16825:3453,301,5661
M04071:132:000000000-BK78J:1:1101:22303:3454,301,5661
M04071:132:000000000-BK78J:1:1101:20600:3459,301,5061
M04071:132:000000000-BK78J:1:1101:18378:3474,196,5661
M04071:132:000000000-BK78J:1:1101:22968:3478,300,5061
M04071:132:000000000-BK78J:1:1101:16536:3481,301,5061
M04071:132:000000000-BK78J:1:1101:21020:3492,301,585
M04071:132:000000000-BK78J:1:1101:19622:3497,301,5061
M04071:132:000000000-BK78J:1:1101:16457:3498,301,5061
M04071:132:000000000-BK78J:1:1101:10146:3564,301,5661
M04071:132:000000000-BK78J:1:1101:21964:3594,302,5061
M04071:132:000000000-BK78J:1:1101:16901:3614,301,5061
M04071:132:000000000-BK78J:1:1101:12884:3615,296,5661
M04071:132:000000000-BK78J:1:1101:13520:3619,299,5661
M04071:132:000000000-BK78J:1:1101:11815:3621,301,5061
M04071:132:000000000-BK78J:1:1101:11905:3621,302,5061
M04071:132:000000000-BK78J:1:1101:13940:3641,222,5061
M04071:132:000000000-BK78J:1:1101:23198:3675,300,5061
M04071:132:000000000-BK78J:1:1101:12860:3678,301,5061
M04071:132:000000000-BK78J:1:1101:18851:3715,300,5061
M04071:132:000000000-BK78J:1:1101:21401:3734,302,5661
M04071:132:000000000-BK78J:1:1101:16660:3743,300,5061
M04071:132:000000000-BK78J:1:1101:19706:3757,299,5661
M04071:132:000000000-BK78J:1:1101:14082:3822,300,5661
