Object_ID, Length, Assignment
M04071:134:000000000-BLG8R:1:1101:13114:2035,301,57975
M04071:134:000000000-BLG8R:1:1101:14476:2121,301,5661
M04071:134:000000000-BLG8R:1:1101:12137:2133,301,5061
M04071:134:000000000-BLG8R:1:1101:17333:2150,302,5661
M04071:134:000000000-BLG8R:1:1101:11492:2155,301,5061
M04071:134:000000000-BLG8R:1:1101:19969:2162,302,5661
M04071:134:000000000-BLG8R:1:1101:19032:2170,302,5061
M04071:134:000000000-BLG8R:1:1101:17049:2190,302,57975
M04071:134:000000000-BLG8R:1:1101:12344:2218,300,5061
M04071:134:000000000-BLG8R:1:1101:17475:2243,301,5661
M04071:134:000000000-BLG8R:1:1101:11423:2251,302,5661
M04071:134:000000000-BLG8R:1:1101:12318:2260,301,5661
M04071:134:000000000-BLG8R:1:1101:13029:2261,298,57975
M04071:134:000000000-BLG8R:1:1101:16351:2362,297,5061
M04071:134:000000000-BLG8R:1:1101:20461:2377,300,57975
M04071:134:000000000-BLG8R:1:1101:10504:2390,299,5061
M04071:134:000000000-BLG8R:1:1101:15492:2410,299,5661
M04071:134:000000000-BLG8R:1:1101:14986:2442,301,5661
M04071:134:000000000-BLG8R:1:1101:19575:2460,302,5661
M04071:134:000000000-BLG8R:1:1101:17503:2491,302,5061
M04071:134:000000000-BLG8R:1:1101:18448:2540,302,5061
M04071:134:000000000-BLG8R:1:1101:14257:2569,302,5661
M04071:134:000000000-BLG8R:1:1101:15125:2580,300,5061
M04071:134:000000000-BLG8R:1:1101:10149:2582,301,5061
M04071:134:000000000-BLG8R:1:1101:11194:2583,302,5061
M04071:134:000000000-BLG8R:1:1101:16747:2597,300,5661
M04071:134:000000000-BLG8R:1:1101:20392:2609,301,5061
M04071:134:000000000-BLG8R:1:1101:19246:2610,272,5061
M04071:134:000000000-BLG8R:1:1101:13666:2622,302,5061
M04071:134:000000000-BLG8R:1:1101:10186:2660,302,632
M04071:134:000000000-BLG8R:1:1101:19291:2663,300,5661
M04071:134:000000000-BLG8R:1:1101:12103:2693,302,57975
M04071:134:000000000-BLG8R:1:1101:16607:2702,301,5661
M04071:134:000000000-BLG8R:1:1101:11523:2718,70,5661
M04071:134:000000000-BLG8R:1:1101:13816:2741,298,632
M04071:134:000000000-BLG8R:1:1101:21487:2753,302,5661
M04071:134:000000000-BLG8R:1:1101:12689:2791,302,5661
