Object_ID, Length, Assignment
M04071:132:000000000-BK78J:1:1101:13711:1482,302,5661
M04071:132:000000000-BK78J:1:1101:17450:1528,301,630
M04071:132:000000000-BK78J:1:1101:16777:1614,300,5061
M04071:132:000000000-BK78J:1:1101:12932:1775,150,562
M04071:132:000000000-BK78J:1:1101:11938:1873,301,5661
M04071:132:000000000-BK78J:1:1101:17310:1938,302,5061
M04071:132:000000000-BK78J:1:1101:15841:2000,301,5061
M04071:132:000000000-BK78J:1:1101:19782:2013,301,5061
M04071:132:000000000-BK78J:1:1101:12431:2018,299,5661
M04071:132:000000000-BK78J:1:1101:16578:2051,301,5061
M04071:132:000000000-BK78J:1:1101:11586:2084,302,5061
M04071:132:000000000-BK78J:1:1101:18813:2095,300,5061
M04071:132:000000000-BK78J:1:1101:20014:2115,301,5661
M04071:132:000000000-BK78J:1:1101:11988:2116,299,5061
M04071:132:000000000-BK78J:1:1101:11600:2123,282,5661
M04071:132:000000000-BK78J:1:1101:17967:2169,301,5661
M04071:132:000000000-BK78J:1:1101:13228:2183,302,5061
M04071:132:000000000-BK78J:1:1101:19424:2248,301,5661
M04071:132:000000000-BK78J:1:1101:13522:2262,302,5061
M04071:132:000000000-BK78J:1:1101:15400:2286,302,5661
M04071:132:000000000-BK78J:1:1101:17224:2286,302,624
M04071:132:000000000-BK78J:1:1101:18363:2286,302,5661
M04071:132:000000000-BK78J:1:1101:14659:2356,301,5061
M04071:132:000000000-BK78J:1:1101:10621:2369,301,5661
M04071:132:000000000-BK78J:1:1101:11271:2377,215,11029
M04071:132:000000000-BK78J:1:1101:17588:2388,302,5661
M04071:132:000000000-BK78J:1:1101:13977:2392,302,263
M04071:132:000000000-BK78J:1:1101:18143:2451,302,5061
M04071:132:000000000-BK78J:1:1101:17313:2472,300,5661
M04071:132:000000000-BK78J:1:1101:18038:2479,301,5061
M04071:132:000000000-BK78J:1:1101:12869:2484,300,5061
M04071:132:000000000-BK78J:1:1101:10304:2494,302,5661
M04071:132:000000000-BK78J:1:1101:20967:2552,300,5061
M04071:132:000000000-BK78J:1:1101:20506:2560,302,5061
M04071:132:000000000-BK78J:1:1101:14397:2576,301,5061
M04071:132:000000000-BK78J:1:1101:12963:2605,300,5661
M04071:132:000000000-BK78J:1:1101:13141:2627,301,5661
M04071:132:000000000-BK78J:1:1101:15243:2638,301,5061
M04071:132:000000000-BK78J:1:1101:15928:2643,301,5661
M04071:132:000000000-BK78J:1:1101:19899:2649,300,5061
M04071:132:000000000-BK78J:1:1101:15370:2666,301,5661
M04071:132:000000000-BK78J:1:1101:18697:2667,302,5061
M04071:132:000000000-BK78J:1:1101:15304:2697,302,5061
M04071:132:000000000-BK78J:1:1101:21711:2724,299,5061
M04071:132:000000000-BK78J:1:1101:9800:2736,302,50719
M04071:132:000000000-BK78J:1:1101:16972:2751,302,5061
M04071:132:000000000-BK78J:1:1101:18045:2776,301,5661
M04071:132:000000000-BK78J:1:1101:12972:2788,301,5061
M04071:132:000000000-BK78J:1:1101:15926:2798,301,5661
M04071:132:000000000-BK78J:1:1101:13317:2805,300,263
M04071:132:000000000-BK78J:1:1101:19712:2856,301,5661
M04071:132:000000000-BK78J:1:1101:19672:2867,302,5061
M04071:132:000000000-BK78J:1:1101:15398:2887,301,5061
M04071:132:000000000-BK78J:1:1101:10720:2904,298,5661
M04071:132:000000000-BK78J:1:1101:13737:2923,301,5661
M04071:132:000000000-BK78J:1:1101:16753:2974,302,5061
M04071:132:000000000-BK78J:1:1101:17074:2984,302,5661
M04071:132:000000000-BK78J:1:1101:14091:3014,300,5661
M04071:132:000000000-BK78J:1:1101:21194:3025,302,5061
M04071:132:000000000-BK78J:1:1101:17497:3103,302,633
M04071:132:000000000-BK78J:1:1101:20538:3142,302,5061
M04071:132:000000000-BK78J:1:1101:10965:3166,301,5061
M04071:132:000000000-BK78J:1:1101:16270:3171,102,5661
M04071:132:000000000-BK78J:1:1101:16788:3180,299,5661
M04071:132:000000000-BK78J:1:1101:20685:3207,302,5061
M04071:132:000000000-BK78J:1:1101:21178:3237,206,5661
M04071:132:000000000-BK78J:1:1101:16702:3278,301,5661
M04071:132:000000000-BK78J:1:1101:11759:3305,302,5661
M04071:132:000000000-BK78J:1:1101:11681:3309,302,5661
M04071:132:000000000-BK78J:1:1101:15514:3336,299,5061
M04071:132:000000000-BK78J:1:1101:17752:3346,301,5661
M04071:132:000000000-BK78J:1:1101:22651:3371,298,5061
M04071:132:000000000-BK78J:1:1101:19553:3371,299,5061
M04071:132:000000000-BK78J:1:1101:14013:3386,302,5061
M04071:132:000000000-BK78J:1:1101:10078:3395,300,5061
M04071:132:000000000-BK78J:1:1101:9871:3397,302,5661
M04071:132:000000000-BK78J:1:1101:11654:3431,301,5061
M04071:132:000000000-BK78J:1:1101:12058:3439,302,732
M04071:132:000000000-BK78J:1:1101:10858:3446,300,5661
M04071:132:000000000-BK78J:1:1101:18400:3478,302,5661
M04071:132:000000000-BK78J:1:1101:13792:3491,301,5661
M04071:132:000000000-BK78J:1:1101:18656:3506,297,5061
M04071:132:000000000-BK78J:1:1101:18154:3539,302,5061
M04071:132:000000000-BK78J:1:1101:22575:3543,301,5061
M04071:132:000000000-BK78J:1:1101:9346:3551,302,28901
M04071:132:000000000-BK78J:1:1101:20909:3562,301,5061
M04071:132:000000000-BK78J:1:1101:9630:3587,301,5061
M04071:132:000000000-BK78J:1:1101:23257:3605,302,5061
M04071:132:000000000-BK78J:1:1101:14150:3659,299,5061
M04071:132:000000000-BK78J:1:1101:21965:3687,301,5061
M04071:132:000000000-BK78J:1:1101:17805:3705,301,5061
M04071:132:000000000-BK78J:1:1101:10933:3706,302,5061
M04071:132:000000000-BK78J:1:1101:13309:3710,300,5661
M04071:132:000000000-BK78J:1:1101:12053:3718,301,5661
M04071:132:000000000-BK78J:1:1101:9789:3738,302,5661
M04071:132:000000000-BK78J:1:1101:14338:3767,300,5661
M04071:132:000000000-BK78J:1:1101:16524:3801,302,5661
M04071:132:000000000-BK78J:1:1101:16201:3808,301,5061
M04071:132:000000000-BK78J:1:1101:20593:3824,302,5061
M04071:132:000000000-BK78J:1:1101:13731:3858,296,5061
M04071:132:000000000-BK78J:1:1101:18332:3872,300,588
M04071:132:000000000-BK78J:1:1101:14307:3873,302,5061
M04071:132:000000000-BK78J:1:1101:10981:3879,300,5661
M04071:132:000000000-BK78J:1:1101:11058:3883,299,5661
M04071:132:000000000-BK78J:1:1101:22508:3897,301,633
M04071:132:000000000-BK78J:1:1101:9842:3928,224,5661
M04071:132:000000000-BK78J:1:1101:21283:3936,301,5061
M04071:132:000000000-BK78J:1:1101:21336:3942,301,5061
M04071:132:000000000-BK78J:1:1101:9517:3967,302,5661
M04071:132:000000000-BK78J:1:1101:15990:3967,301,5661
M04071:132:000000000-BK78J:1:1101:14756:3967,300,5661
M04071:132:000000000-BK78J:1:1101:14717:3984,302,5661
M04071:132:000000000-BK78J:1:1101:7507:4010,300,5061
M04071:132:000000000-BK78J:1:1101:22904:4030,302,5061
M04071:132:000000000-BK78J:1:1101:21364:4053,302,5661
M04071:132:000000000-BK78J:1:1101:9064:4060,302,480
M04071:132:000000000-BK78J:1:1101:10397:4067,299,5661
M04071:132:000000000-BK78J:1:1101:9478:4094,302,5061
M04071:132:000000000-BK78J:1:1101:10630:4100,301,5061
M04071:132:000000000-BK78J:1:1101:15348:4113,302,5061
M04071:132:000000000-BK78J:1:1101:9945:4120,302,5661
M04071:132:000000000-BK78J:1:1101:23709:4139,300,5661
M04071:132:000000000-BK78J:1:1101:13405:4169,300,5061
M04071:132:000000000-BK78J:1:1101:20107:4171,302,5661
M04071:132:000000000-BK78J:1:1101:11667:4183,302,5061
M04071:132:000000000-BK78J:1:1101:18192:4201,302,5661
M04071:132:000000000-BK78J:1:1101:9225:4215,300,5061
M04071:132:000000000-BK78J:1:1101:9848:4228,301,5061
M04071:132:000000000-BK78J:1:1101:20111:4229,302,5061
M04071:132:000000000-BK78J:1:1101:21850:4241,232,5661
M04071:132:000000000-BK78J:1:1101:7790:4245,301,5661
M04071:132:000000000-BK78J:1:1101:23588:4251,302,5061
M04071:132:000000000-BK78J:1:1101:23278:4262,299,5061
M04071:132:000000000-BK78J:1:1101:15650:4286,302,5661
M04071:132:000000000-BK78J:1:1101:11262:4289,299,5661
M04071:132:000000000-BK78J:1:1101:22993:4292,300,5661
M04071:132:000000000-BK78J:1:1101:17807:4295,192,11029
M04071:132:000000000-BK78J:1:1101:23133:4297,260,5661
M04071:132:000000000-BK78J:1:1101:22489:4298,301,5661
M04071:132:000000000-BK78J:1:1101:9121:4299,299,5061
M04071:132:000000000-BK78J:1:1101:11697:4306,302,5661
M04071:132:000000000-BK78J:1:1101:13013:4317,302,5061
M04071:132:000000000-BK78J:1:1101:13058:4397,301,5061
M04071:132:000000000-BK78J:1:1101:19769:4403,300,5661
M04071:132:000000000-BK78J:1:1101:13867:4404,302,5061
M04071:132:000000000-BK78J:1:1101:13115:4414,302,585
M04071:132:000000000-BK78J:1:1101:15974:4442,299,5061
