Object_ID, Length, Assignment
C06.125,180,5661
C06.468,180,5661
C06.719,180,5061
C06.1202,180,5661
C06.1285,180,11029
C06.1340,180,5661
C06.1452,180,5661
C06.1920,122,5661
C06.2018,180,5061
C06.2287,180,5661
C06.2295,180,11029
C06.2316,180,5661
C06.2498,180,5661
C06.2530,180,64320
C06.2763,180,11029
C06.2958,180,5661
C06.3365,180,5661
C06.3521,180,1484157
C06.3551,180,5061
C06.3746,180,5661
C06.3832,76,5661
C06.3890,180,5661
C06.4069,180,5661
C06.4507,180,11029
C06.5072,180,5061
C06.5101,180,5661
C06.5215,180,5661
C06.5512,180,5661
C06.5531,180,5061
C06.5859,180,28152
C06.5967,180,11029
C06.6075,180,11029
C06.6192,180,5661
C06.6351,180,5061
C06.6361,180,5061
C06.6590,180,5661
C06.6639,172,632
C06.6759,180,5661
C06.7115,180,5661
C06.7311,180,5061
C06.7494,180,5661
C06.7686,180,5661
C06.8012,180,5061
C06.8051,180,5661
C06.8131,180,5661
C06.8156,180,5061
C06.8200,180,5061
C06.8319,180,5661
C06.8644,180,5661
C06.9194,180,5061
C06.9618,180,5661
C06.10263,180,5661
C06.10345,180,5661
C06.10366,180,5661
C06.10655,180,5061
C06.10703,180,5061
C06.10734,180,5661
C06.11716,180,5661
C06.12451,180,5661
C06.12591,180,5061
C06.12754,180,5661
C06.12881,180,5661
C06.13046,180,5661
C06.13314,180,5061
C06.13315,180,5661
C06.13372,180,5661
C06.13377,180,5661
C06.13560,180,632
C06.13779,180,584
C06.14353,180,5661
C06.14424,180,5061
C06.14427,180,5661
C06.15155,180,5661
C06.15760,180,5661
C06.15778,180,5061
C06.15810,180,5061
C06.15885,180,5061
C06.16003,180,5661
C06.16194,180,5661
C06.16435,180,5061
C06.16691,180,5661
C06.17246,180,5661
C06.17781,180,5061
C06.17938,180,5061
C06.18127,180,5661
C06.18282,180,37124
C06.18304,120,5661
C06.18863,180,5661
C06.19063,180,5661
C06.19064,180,5661
C06.19274,180,5661
C06.19719,180,5661
C06.20522,180,5661
C06.20628,180,5661
C06.20715,180,5061
C06.20828,180,5061
C06.20871,180,5061
C06.21457,180,5661
C06.21467,180,5061
C06.21637,149,64320
C06.21682,180,5661
C06.21921,180,5661
C06.21929,180,5061
C06.22058,180,5061
C06.22110,180,5061
C06.22187,180,5661
C06.22190,180,5061
C06.22196,180,5661
C06.22439,180,5061
C06.22486,180,11029
C06.22515,180,732
C06.22595,180,5661
C06.23150,180,5661
C06.23321,180,5061
C06.23370,180,5061
C06.23803,180,37124
C06.23818,180,11029
C06.23938,180,5661
C06.23969,180,5061
C06.24286,180,5061
C06.24396,180,632
C06.24451,180,64320
C06.24493,180,5061
C06.24585,180,5661
C06.24602,180,5661
C06.24694,180,5661
C06.24750,180,5661
C06.24858,180,5061
C06.25237,180,5661
C06.25451,180,5061
C06.25478,180,5661
C06.25563,180,5061
C06.25628,180,5061
C06.26521,180,632
C06.26925,180,5061
C06.27146,180,5061
C06.27157,180,11029
C06.27191,180,5661
C06.27426,180,5061
C06.27492,180,5061
C06.27530,178,5661
C06.27699,180,5661
C06.28268,180,37124
C06.28307,180,5061
C06.28436,180,5661
C06.28463,180,5061
C06.28535,180,5661
C06.28617,180,11029
C06.28637,180,5661
C06.28740,180,5661
C06.28998,180,5661
C06.29048,180,5061
C06.29156,180,11029
C06.29238,100,5661
C06.29280,180,5661
C06.29443,180,5061
C06.29762,180,5061
C06.29819,180,5061
C06.29822,180,5061
C06.29838,180,585
C06.29926,180,632
C06.29976,180,11029
C06.30106,180,5661
C06.30336,180,5661
C06.31008,180,5661
C06.31196,156,5061
C06.31203,180,5061
C06.31437,180,5661
C06.31706,180,5661
C06.31809,82,5661
C06.31814,180,64320
C06.31824,180,5661
C06.31852,180,5661
C06.32193,180,5661
C06.32272,180,5061
C06.32786,180,5661
C06.32884,180,37124
C06.33485,180,5661
C06.33510,180,5661
C06.33693,180,5661
C06.33921,180,5661
C06.34106,180,5661
C06.34422,180,5661
C06.34484,180,50719
C06.34608,180,5661
C06.35256,180,5061
C06.35453,180,5661
C06.35638,180,5661
C06.35649,180,5661
C06.35760,180,5061
C06.35861,180,11029
