Object_ID, Length, Assignment
C08.3,302,186538
C08.127,302,5061
C08.160,300,5661
C08.261,302,186538
C08.287,302,186538
C08.313,302,5661
C08.314,300,85698
C08.341,300,5661
C08.379,301,5661
C08.394,301,13373
C08.425,301,5661
C08.457,301,5661
C08.496,300,5661
C08.642,302,5661
C08.681,302,5661
C08.698,274,5661
C08.863,300,5061
C08.865,301,5061
C08.927,300,5061
C08.995,302,5661
C08.1008,246,5661
C08.1032,302,5661
C08.1107,301,5061
C08.1109,302,5661
C08.1172,302,5661
C08.1196,299,5661
C08.1217,302,5061
C08.1225,302,5061
C08.1293,299,5661
C08.1302,302,5661
C08.1309,300,5061
C08.1390,302,5061
C08.1592,302,186538
C08.1637,300,11029
C08.1708,301,5061
C08.1775,300,5061
C08.1788,302,85698
C08.1829,301,5061
C08.1926,301,5061
C08.2011,297,5661
C08.2102,300,1280
C08.2200,302,5661
C08.2241,302,5061
C08.2532,302,5061
C08.2603,301,186538
C08.2754,302,5061
C08.2766,302,5061
C08.2853,301,186538
C08.3141,302,5661
C08.3152,300,5061
C08.3156,301,85698
C08.3162,300,5661
C08.3189,78,186538
C08.3208,301,5661
C08.3228,302,5061
C08.3301,301,5661
C08.3452,302,5661
C08.3499,299,5061
C08.3539,290,186538
C08.3584,301,5061
C08.3609,301,5061
C08.3657,302,5661
C08.3672,302,5661
C08.3691,302,5061
C08.3716,301,5061
C08.3741,302,5061
C08.3782,302,5061
C08.3833,301,186538
C08.3898,301,5061
C08.3948,301,5061
C08.4100,301,85698
C08.4120,300,5061
C08.4173,302,5661
C08.4233,301,5661
C08.4315,301,5661
C08.4425,301,5061
C08.4463,301,5061
C08.4500,301,5661
C08.4584,302,5061
C08.4615,300,5061
C08.4685,299,5661
C08.4796,302,5061
C08.4865,302,5661
C08.5006,300,5661
C08.5104,302,5661
C08.5195,301,186538
C08.5262,301,5061
C08.5287,302,630
C08.5374,301,85698
C08.5399,300,5061
C08.5509,300,5061
C08.5691,302,5061
C08.5794,301,5661
C08.5805,300,1920107
C08.5811,302,85698
C08.5859,297,5061
C08.5866,301,5061
C08.6022,302,5661
C08.6142,301,5061
C08.6158,301,13373
C08.6187,302,5661
C08.6196,302,5661
C08.6454,302,5061
C08.6512,302,13373
C08.6520,300,5661
C08.6550,300,5661
C08.6555,302,5661
C08.6636,301,11029
C08.6689,302,5061
C08.6698,301,5061
C08.6771,302,186538
C08.6782,302,186538
C08.6834,302,5061
C08.6987,302,5061
C08.7002,301,5061
C08.7075,301,5661
C08.7171,301,5061
C08.7314,302,5061
C08.7354,292,5661
C08.7359,302,85698
C08.7372,302,5661
C08.7417,300,5661
C08.7462,300,5661
C08.7484,302,5061
C08.7531,302,5061
C08.7570,302,85698
C08.7580,300,5061
C08.7628,301,5661
C08.7718,300,186538
C08.7909,302,5661
C08.7915,302,5061
C08.8221,300,5061
C08.8300,301,5061
C08.8394,302,5061
C08.8503,301,5061
C08.8674,302,5661
C08.8676,290,186538
C08.8790,301,5061
C08.8856,301,5061
C08.9049,298,5661
C08.9180,300,5061
C08.9223,300,5061
C08.9243,302,5061
