TaxaID	Taxonomic_Rank	Name	Count	Probability	Proportion_Classified(%)
77133	species	UNCULTURED BACTERIUM	29.4861759677531	104	28.3520923	0.0933858
100272	species	UNCULTURED EUKARYOTE	25.6830138365896	142	18.0866295	0.1275075
252962	species	OSCARELLA TUBERCULATA	16.9414732398922	53	31.9650438	0.0475908
9590	species	SYMPHALANGUS SYNDACTYLUS	13.8903884085676	273	5.0880544	0.2451377
10116	species	RATTUS NORVEGICUS	13.3128053596269	119	11.1872314	0.1068549
42254	species	SOREX ARANEUS	11.3666661395027	48	23.6805545	0.0431011
10090	species	MUS MUSCULUS	10.7017471298841	247	4.3326911	0.2217912
9606	species	HOMO SAPIENS	10.1313814939623	159	6.3719380	0.1427725
10020	species	DIPODOMYS ORDII	9.6633934162326	64	15.0990522	0.0574682
357284	species	HOMALOPTERA LEONARDI	8.20112362096725	48	17.0856742	0.0431011
61392	species	COEMANSIA REVERSA	7.5854847596883	66	11.4931587	0.0592640
203449	species	UNCULTURED MARINE EUKARYOTE	6.2655658787584	36	17.4043497	0.0323258
763931	species	KOFOIDINIUM CF. PAVILLARDII	6.0211194107035	8	75.2639926	0.0071835
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	5.762057031095	26	22.1617578	0.0233464
9601	species	PONGO ABELII	5.57336338589656	150	3.7155756	0.1346910
9978	species	OCHOTONA PRINCEPS	5.4762641458055	85	6.4426637	0.0763249
1157685	species	RHIZOBIUM SP. JGI 0001005 H05	5.07000935246862	38	13.3421299	0.0341217
115547	species	UNCULTURED ARCHAEON	4.7815141264126	16	29.8844633	0.0143670
9598	species	PAN TROGLODYTES	4.54497323081331	83	5.4758714	0.0745290
9986	species	ORYCTOLAGUS CUNICULUS	3.8570098691514	153	2.5209215	0.1373848
37347	species	TUPAIA BELANGERI	3.7315653244934	108	3.4551531	0.0969775
187300	species	UNCULTURED DINOFLAGELLATE	3.67700484724954	31	11.8613060	0.0278361
72520	species	NANNOCHLOROPSIS GADITANA	3.24097105531819	32	10.1280345	0.0287341
85101	species	UROCOLIUS MACROURUS	2.8597468213752	15	19.0649788	0.0134691
1047006	species	OMNITROPHICA BACTERIUM SCGC AAA252 B19	2.8317108884542	19	14.9037415	0.0170609
303551	species	GONYAULAX FRAGILIS	2.589902526823	14	18.4993038	0.0125712
240359	species	THECADINIUM MUCOSUM	2.5835089271391	15	17.2233928	0.0134691
1104610	species	MICROGENOMATES BACTERIUM SCGC AAA011 B20	2.4968473265607	10	24.9684733	0.0089794
64183	species	UTERIPORUS SP. SC 1997	2.329901118691	4	58.2475280	0.0035918
405008	species	EUCOMONYMPHA IMLA	2.2984032906236	27	8.5126048	0.0242444
1104615	species	MICROGENOMATES BACTERIUM SCGC AAA011 L05	2.28406388595915	30	7.6135463	0.0269382
9371	species	ECHINOPS TELFAIRI	2.2387522374544	52	4.3052928	0.0466929
30538	species	VICUGNA PACOS	2	3	66.6666667	0.0026938
