TaxaID	Taxonomic_Rank	Name	Count	Probability	Proportion_Classified(%)
77133	species	UNCULTURED BACTERIUM	34.2658773047055	130	26.3583672	0.2320890
10090	species	MUS MUSCULUS	30.41206702184	361	8.4243953	0.6444932
100272	species	UNCULTURED EUKARYOTE	25.0338616428901	130	19.2568166	0.2320890
9590	species	SYMPHALANGUS SYNDACTYLUS	22.2824170519131	456	4.8864950	0.8140967
10116	species	RATTUS NORVEGICUS	15.6743071103011	129	12.1506257	0.2303037
9601	species	PONGO ABELII	13.4062820438251	257	5.2164522	0.4588221
1157685	species	RHIZOBIUM SP. JGI 0001005 H05	12.0333415481114	73	16.4840295	0.1303269
357284	species	HOMALOPTERA LEONARDI	11.3408271883172	80	14.1760340	0.1428240
9606	species	HOMO SAPIENS	10.7536672020547	173	6.2159926	0.3088569
252962	species	OSCARELLA TUBERCULATA	9.4225931009995	28	33.6521182	0.0499884
42254	species	SOREX ARANEUS	8.673551292735	41	21.1550032	0.0731973
10020	species	DIPODOMYS ORDII	8.4923417997723	82	10.3565144	0.1463946
37347	species	TUPAIA BELANGERI	7.74766633038398	97	7.9872849	0.1731741
1394710	species	CANDIDATE DIVISION WWE3 BACTERIUM RAAC2_WWE3_1	6.97703898578701	55	12.6855254	0.0981915
61392	species	COEMANSIA REVERSA	6.0470752123159	32	18.8971100	0.0571296
146919	species	SALINIBACTER RUBER	5.77663717510373	33	17.5049611	0.0589149
1407671	species	UNCULTURED MEDITERRANEAN PHAGE UVMED	4.8794531706503	20	24.3972659	0.0357060
9598	species	PAN TROGLODYTES	4.53954891901453	138	3.2895282	0.2463714
1104615	species	MICROGENOMATES BACTERIUM SCGC AAA011 L05	4.3674476895639	42	10.3986850	0.0749826
405008	species	EUCOMONYMPHA IMLA	4.31006521476361	41	10.5123542	0.0731973
9978	species	OCHOTONA PRINCEPS	4.28247198395355	61	7.0204459	0.1089033
199306	species	COCCIDIOIDES POSADASII	3.80655837765	19	20.0345178	0.0339207
33695	species	TUBULINOSEMA KINGI	3.7231925775351	94	3.9608432	0.1678182
415603	species	INFUNDIBULOMYCES SP. NR 2006A	3.71751679583968	33	11.2652024	0.0589149
203449	species	UNCULTURED MARINE EUKARYOTE	3.5379801525393	24	14.7415840	0.0428472
683832	species	CIRRHINUS MRIGALA	3.4972318985231	21	16.6534852	0.0374913
35128	species	THALASSIOSIRA PSEUDONANA	3.42868621360586	28	12.2453079	0.0499884
152704	species	UNCULTURED STRAMENOPILE	3.4260220767622	18	19.0334560	0.0321354
303551	species	GONYAULAX FRAGILIS	3.019124762903	16	18.8695298	0.0285648
9986	species	ORYCTOLAGUS CUNICULUS	3.00366163993486	77	3.9008593	0.1374681
763931	species	KOFOIDINIUM CF. PAVILLARDII	2.937008954526	3	97.9002985	0.0053559
240359	species	THECADINIUM MUCOSUM	2.9321170485	18	16.2895392	0.0321354
1047006	species	OMNITROPHICA BACTERIUM SCGC AAA252 B19	2.890646904019	19	15.2139311	0.0339207
115547	species	UNCULTURED ARCHAEON	2.8858687089285	13	22.1989901	0.0232089
72520	species	NANNOCHLOROPSIS GADITANA	2.8416272302146	31	9.1665395	0.0553443
9371	species	ECHINOPS TELFAIRI	2.80535901876181	167	1.6798557	0.2981451
59463	species	MYOTIS LUCIFUGUS	2.8016946974288	14	20.0121050	0.0249942
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	2.683615768749	23	11.6678946	0.0410619
187299	species	UNCULTURED CILIATE	2.3438399301652	11	21.3076357	0.0196383
40518	species	RUMINOCOCCUS BROMII	2.2651278264354	40	5.6628196	0.0714120
175274	species	UNCULTURED ALVEOLATE	2.190003139269	8	27.3750392	0.0142824
5105	species	ASCOSPHAERA APIS	2.15332251783723	82	2.6260031	0.1463946
187300	species	UNCULTURED DINOFLAGELLATE	2.07757725699438	26	7.9906818	0.0464178
136703	species	UNCULTURED RUMEN BACTERIUM	2.0506251655333	18	11.3923620	0.0321354
86637	species	GYROPAIGNE LEFEVREI	2.037803384354	9	22.6422598	0.0160677
175275	species	UNCULTURED CERCOZOAN	1.955651816381	5	39.1130363	0.0089265
501324	species	MYXOBOLUS ALBI	1.939332136559	10	19.3933214	0.0178530
189424	species	MENOIDIUM SP. CCAP 1247/6	1.899494997824	9	21.1055000	0.0160677
5241	species	TULASNELLA VIOLEA	1.8022271062402	36	5.0061864	0.0642708
30538	species	VICUGNA PACOS	1.761538991959	8	22.0192374	0.0142824
1104610	species	MICROGENOMATES BACTERIUM SCGC AAA011 B20	1.6432207259424	17	9.6660043	0.0303501
217026	species	AUXIS ROCHEI	1.62433682993585	11	14.7666985	0.0196383
4113	species	SOLANUM TUBEROSUM	1.5761471338014	31	5.0843456	0.0553443
673862	species	DELTA PROTEOBACTERIUM BABL1	1.5633150143844	8	19.5414377	0.0142824
1432327	species	CANDIDATUS MICROGENOMATUS AURICOLA	1.45987855505232	32	4.5621205	0.0571296
1396	species	BACILLUS CEREUS	1.435013184365	95	1.5105402	0.1696035
175245	species	UNCULTURED FUNGUS	1.423148121833	3	47.4382707	0.0053559
304914	species	SINOCYCLOCHEILUS ALTISHOULDERUS	1.4121289772723	9	15.6903220	0.0160677
27973	species	ENCEPHALITOZOON HELLEM	1.40415081438341	21	6.6864324	0.0374913
260506	species	PELLONA FLAVIPINNIS	1.378730048296	5	27.5746010	0.0089265
5501	species	COCCIDIOIDES IMMITIS	1.3694267278845	143	0.9576411	0.2552979
91750	species	UNCULTURED ALPHA PROTEOBACTERIUM	1.340981244682	8	16.7622656	0.0142824
194923	species	UNCULTURED VEILLONELLACEAE BACTERIUM	1.30073753819	3	43.3579179	0.0053559
