TaxaID	Taxonomic_Rank	Name	Count	Probability	Proportion_Classified(%)
9590	species	SYMPHALANGUS SYNDACTYLUS	26.1275110745838	477	5.4774656	1.2038766
357284	species	HOMALOPTERA LEONARDI	17.307093536764	113	15.3160120	0.2851951
77133	species	UNCULTURED BACTERIUM	16.6610955225992	52	32.0405683	0.1312402
9601	species	PONGO ABELII	15.5733852548153	332	4.6907787	0.8379183
10020	species	DIPODOMYS ORDII	13.6387194739357	50	27.2774389	0.1261925
10116	species	RATTUS NORVEGICUS	13.2206487581673	175	7.5546564	0.4416738
10090	species	MUS MUSCULUS	12.5658605699129	248	5.0668793	0.6259149
9606	species	HOMO SAPIENS	12.0115496163341	169	7.1074258	0.4265307
100272	species	UNCULTURED EUKARYOTE	11.8848663754325	58	20.4911489	0.1463833
42254	species	SOREX ARANEUS	10.1197225172862	42	24.0945774	0.1060017
9598	species	PAN TROGLODYTES	7.1581772988294	86	8.3234620	0.2170511
72520	species	NANNOCHLOROPSIS GADITANA	6.79621280994893	72	9.4391845	0.1817172
252962	species	OSCARELLA TUBERCULATA	6.5192012921995	19	34.3115857	0.0479532
683832	species	CIRRHINUS MRIGALA	5.6492728711417	28	20.1759745	0.0706678
1157685	species	RHIZOBIUM SP. JGI 0001005 H05	5.0745501768205	36	14.0959727	0.0908586
763931	species	KOFOIDINIUM CF. PAVILLARDII	5	6	83.3333333	0.0151431
37347	species	TUPAIA BELANGERI	4.02749922105709	86	4.6831386	0.2170511
9978	species	OCHOTONA PRINCEPS	3.8108217786211	74	5.1497592	0.1867649
146919	species	SALINIBACTER RUBER	3.78388130891433	24	15.7661721	0.0605724
9986	species	ORYCTOLAGUS CUNICULUS	3.7104976921505	227	1.6345805	0.5729140
61392	species	COEMANSIA REVERSA	3.6302598997289	19	19.1066311	0.0479532
405008	species	EUCOMONYMPHA IMLA	3.46768958578103	21	16.5128076	0.0530009
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	3.317749400317	7	47.3964200	0.0176670
9371	species	ECHINOPS TELFAIRI	3.2139878947897	56	5.7392641	0.1413356
115547	species	UNCULTURED ARCHAEON	2.96178700561249	8	37.0223376	0.0201908
1047006	species	OMNITROPHICA BACTERIUM SCGC AAA252 B19	2.8680409623979	10	28.6804096	0.0252385
501324	species	MYXOBOLUS ALBI	2.8528452915272	13	21.9449638	0.0328101
203449	species	UNCULTURED MARINE EUKARYOTE	2.6652910863308	18	14.8071727	0.0454293
1104610	species	MICROGENOMATES BACTERIUM SCGC AAA011 B20	2.3202954799435	15	15.4686365	0.0378578
554078	species	UNCULTURED RHIZARIA	2.2974642259161	8	28.7183028	0.0201908
1104615	species	MICROGENOMATES BACTERIUM SCGC AAA011 L05	2.2354656910215	20	11.1773285	0.0504770
8795	species	PTEROCNEMIA PENNATA	2.21986273181155	40	5.5496568	0.1009540
187299	species	UNCULTURED CILIATE	2.164783734327	5	43.2956747	0.0126193
479641	species	VACELETIA SP. GW948	2.00000000000033	22	9.0909091	0.0555247
33695	species	TUBULINOSEMA KINGI	1.85429540411351	27	6.8677608	0.0681440
5808	species	CRYPTOSPORIDIUM MURIS	1.83372673390612	43	4.2644808	0.1085256
604433	species	ARBOROPHILA RUFOGULARIS	1.7940818880638	7	25.6297413	0.0176670
415603	species	INFUNDIBULOMYCES SP. NR 2006A	1.78619227454791	21	8.5056775	0.0530009
85101	species	UROCOLIUS MACROURUS	1.7069524958824	5	34.1390499	0.0126193
33178	species	ASPERGILLUS TERREUS	1.6507877118065	6	27.5131285	0.0151431
217026	species	AUXIS ROCHEI	1.621430873292	8	20.2678859	0.0201908
5741	species	GIARDIA INTESTINALIS	1.61907043307127	72	2.2487089	0.1817172
60468	species	AGAPORNIS ROSEICOLLIS	1.53374147954385	102	1.5036681	0.2574327
5241	species	TULASNELLA VIOLEA	1.5141999341981	54	2.8040740	0.1362879
304914	species	SINOCYCLOCHEILUS ALTISHOULDERUS	1.5109539563158	9	16.7883773	0.0227147
8801	species	STRUTHIO CAMELUS	1.49780983912278	145	1.0329723	0.3659583
5180	species	SCLEROTINIA SCLEROTIORUM	1.48512431066553	94	1.5799195	0.2372419
152704	species	UNCULTURED STRAMENOPILE	1.439117186582	8	17.9889648	0.0201908
56262	species	PANDION HALIAETUS	1.357722239772	25	5.4308890	0.0630963
98376	species	PSEUDOLABRUS EOETHINUS	1.3289955982098	13	10.2230431	0.0328101
373995	species	TENUALOSA ILISHA	1.259627353046	3	41.9875784	0.0075716
143325	species	ZU CRISTATUS	1.21106879498955	20	6.0553440	0.0504770
9615	subspecies	CANIS LUPUS FAMILIARIS	1.191557882629	29	4.1088203	0.0731917
9597	species	PAN PANISCUS	1.1284993967067	107	1.0546723	0.2700520
8060	species	POLLACHIUS VIRENS	1.127289953728	42	2.6840237	0.1060017
4113	species	SOLANUM TUBEROSUM	1.1116312541665	162	0.6861921	0.4088638
296224	species	OPLITIS SP. AL5252	1.09391560843	2	54.6957804	0.0050477
8824	species	APTERYX OWENII	1.07521699875759	76	1.4147592	0.1918126
1260624	species	IDIOMARINA SP. 28 8	1.0473541773829	3	34.9118059	0.0075716
433727	species	HOT SPRINGS METAGENOME	1.0241517101746	3	34.1383903	0.0075716
230744	species	SELENIDIUM VIVAX	1	1	100.0000000	0.0025239
199684	species	UNCULTURED BRADYRHIZOBIUM SP.	0.985161669423	17	5.7950686	0.0429055
9685	species	FELIS CATUS	0.9755475287454	117	0.8338013	0.2952905
1394710	species	CANDIDATE DIVISION WWE3 BACTERIUM RAAC2_WWE3_1	0.97245417924795	15	6.4830279	0.0378578
57847	species	PETROSCIRTES BREVICEPS	0.953647251043433	32	2.9801477	0.0807632
75348	species	GYMNOCYPRIS PRZEWALSKII	0.9505764719313	13	7.3121267	0.0328101
198240	species	UNCULTURED METHANOGENIC ARCHAEON	0.936345730625	1	93.6345731	0.0025239
175276	species	UNCULTURED CHOANOFLAGELLATE	0.932952552326	1	93.2952552	0.0025239
534651	species	FEAELLA ANDERSENI	0.894407800951	1	89.4407801	0.0025239
9739	species	TURSIOPS TRUNCATUS	0.885107084301	93	0.9517280	0.2347181
8823	species	APTERYX HAASTII	0.87985341406501	96	0.9165140	0.2422896
9365	species	ERINACEUS EUROPAEUS	0.87771970719483	82	1.0703899	0.2069557
647853	species	HYMENOBACTER SP. TSZ18	0.871820018531	3	29.0606673	0.0075716
170407	species	HALIMEDA BORNEENSIS	0.8706431524497	9	9.6738128	0.0227147
5730	species	TETRATRICHOMONAS GALLINARUM	0.865600161138	33	2.6230308	0.0832871
1047061	species	MARINIMICROBIA BACTERIUM JGI 0000059 L03	0.8545265580765	9	9.4947395	0.0227147
993668	species	INVENUSTA AESTUS	0.852519841601	1	85.2519842	0.0025239
547188	species	PHYCISPHAERA MIKURENSIS	0.85098852350555	34	2.5029074	0.0858109
170411	species	HALIMEDA CYLINDRACEA	0.8502427308687	9	9.4471415	0.0227147
166587	species	UNCULTURED CHLOROFLEXI BACTERIUM	0.8473031833677	2	42.3651592	0.0050477
419296	species	BACILLUS SP. CP1	0.838110874513	1	83.8110875	0.0025239
297963	species	FUELLEBORNIELLA SP. KY 2004	0.8365619193117	2	41.8280960	0.0050477
297798	species	ETHMALOSA FIMBRIATA	0.83546964461285	9	9.2829961	0.0227147
35128	species	THALASSIOSIRA PSEUDONANA	0.834768514833764	40	2.0869213	0.1009540
35623	species	ACHOLEPLASMA OCULI	0.828755675182	1	82.8755675	0.0025239
120965	species	UNCULTURED PLANCTOMYCETE	0.8203542933276	5	16.4070859	0.0126193
723287	species	ANNCALIIA ALGERAE	0.8134896256558	2	40.6744813	0.0050477
187300	species	UNCULTURED DINOFLAGELLATE	0.7990471799354	7	11.4149597	0.0176670
86637	species	GYROPAIGNE LEFEVREI	0.795320914342	35	2.2723455	0.0883348
186490	species	CANDIDATUS BAUMANNIA CICADELLINICOLA	0.791596126227	1	79.1596126	0.0025239
