TaxaID	Taxonomic_Rank	Name	Count	Probability	Proportion_Classified(%)
77133	species	UNCULTURED BACTERIUM	281.81434164601	781	36.0837825	0.3048519
152704	species	UNCULTURED STRAMENOPILE	116.043260200207	148	78.4076082	0.0577696
100272	species	UNCULTURED EUKARYOTE	113.702703372268	453	25.0999345	0.1768219
562	species	ESCHERICHIA COLI	93.1109476908704	2478	3.7575039	0.9672509
252962	species	OSCARELLA TUBERCULATA	43.8525167035873	118	37.1631497	0.0460596
1747	species	PROPIONIBACTERIUM ACNES	36.1950659299758	769	4.7067706	0.3001678
9590	species	SYMPHALANGUS SYNDACTYLUS	33.6925841188455	686	4.9114554	0.2677700
405008	species	EUCOMONYMPHA IMLA	29.4785540503484	219	13.4605270	0.0854834
61392	species	COEMANSIA REVERSA	26.7947492202306	99	27.0654033	0.0386432
9601	species	PONGO ABELII	26.1211351064884	539	4.8462217	0.2103907
203449	species	UNCULTURED MARINE EUKARYOTE	25.5256539704673	159	16.0538704	0.0620633
415603	species	INFUNDIBULOMYCES SP. NR 2006A	24.6550377689882	194	12.7087824	0.0757250
33695	species	TUBULINOSEMA KINGI	24.5231778116046	216	11.3533231	0.0843124
10020	species	DIPODOMYS ORDII	23.1371402212028	125	18.5097122	0.0487919
115547	species	UNCULTURED ARCHAEON	22.8248716443383	93	24.5428727	0.0363012
357284	species	HOMALOPTERA LEONARDI	20.0299545756177	140	14.3071104	0.0546469
187300	species	UNCULTURED DINOFLAGELLATE	16.5982756908783	93	17.8476083	0.0363012
42254	species	SOREX ARANEUS	14.8141342933314	51	29.0473221	0.0199071
9606	species	HOMO SAPIENS	12.771988170244	203	6.2916198	0.0792381
37347	species	TUPAIA BELANGERI	11.9680071820995	115	10.4069628	0.0448886
175275	species	UNCULTURED CERCOZOAN	11.520627626683	128	9.0004903	0.0499629
5241	species	TULASNELLA VIOLEA	9.238946289144	230	4.0169332	0.0897771
34034	species	UNCULTURED DELTA PROTEOBACTERIUM	9.03036388255121	77	11.7277453	0.0300558
136703	species	UNCULTURED RUMEN BACTERIUM	8.3700227329808	38	22.0263756	0.0148327
315267	species	UNCULTURED FRESHWATER EUKARYOTE	7.75224211716424	37	20.9520057	0.0144424
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	7.162221607209	43	16.6563293	0.0167844
175245	species	UNCULTURED FUNGUS	6.94406583581086	31	22.4002124	0.0121004
404735	species	UNCULTURED EIMERIIDAE	6.8321317117245	39	17.5182864	0.0152231
191722	species	TRACHELOMONAS OBLONGA	6.82425075523127	12	56.8687563	0.0046840
554078	species	UNCULTURED RHIZARIA	6.60586353997591	29	22.7788398	0.0113197
9371	species	ECHINOPS TELFAIRI	6.35956589944817	170	3.7409211	0.0663570
4113	species	SOLANUM TUBEROSUM	6.18966007151527	216	2.8655834	0.0843124
114243	species	UNCULTURED EURYARCHAEOTE	6.12105871488189	29	21.1070990	0.0113197
126669	species	AMPHISORUS HEMPRICHII	5.79981711910607	47	12.3400364	0.0183458
9978	species	OCHOTONA PRINCEPS	5.5322112007341	205	2.6986396	0.0800187
91750	species	UNCULTURED ALPHA PROTEOBACTERIUM	5.4605686942474	30	18.2018956	0.0117101
155900	species	UNCULTURED ORGANISM	5.41645288905256	43	12.5964021	0.0167844
175274	species	UNCULTURED ALVEOLATE	5.17144992198383	31	16.6820965	0.0121004
231055	species	UNCULTURED GLOMUS	5.14726100594812	23	22.3793957	0.0089777
763931	species	KOFOIDINIUM CF. PAVILLARDII	4.967127308564	5	99.3425462	0.0019517
86473	species	UNCULTURED GAMMA PROTEOBACTERIUM	4.7918373946814	36	13.3106594	0.0140521
1032489	species	SORITES SP. 206	4.75030218022327	51	9.3143180	0.0199071
30538	species	VICUGNA PACOS	4.7381201765113	18	26.3228899	0.0070260
59201	subspecies	SALMONELLA ENTERICA SUBSP. ENTERICA	4.66212051184272	33	14.1276379	0.0128811
152509	species	UNCULTURED BACTEROIDETES BACTERIUM	4.5933163246324	22	20.8787106	0.0085874
723287	species	ANNCALIIA ALGERAE	4.54717448143451	47	9.6748393	0.0183458
187299	species	UNCULTURED CILIATE	4.3894874515375	38	11.5512828	0.0148327
9986	species	ORYCTOLAGUS CUNICULUS	4.34264522957905	259	1.6766970	0.1010968
9598	species	PAN TROGLODYTES	4.21699467287535	322	1.3096257	0.1256880
385043	species	UNCULTURED SYNDINIALES	4.1298729572302	20	20.6493648	0.0078067
70528	species	AMBLYOSPORA STIMULI	4.0684052506608	35	11.6240150	0.0136617
175247	species	UNCULTURED CHYTRIDIOMYCOTA	4.0133254311519	20	20.0666272	0.0078067
