TaxaID	Taxonomic_Rank	Name	Count	Probability	Proportion_Classified(%)
9590	species	SYMPHALANGUS SYNDACTYLUS	22.0162569210013	422	5.2171225	1.5748619
357284	species	HOMALOPTERA LEONARDI	14.3029868286861	93	15.3795557	0.3470667
100272	species	UNCULTURED EUKARYOTE	13.4429090673121	72	18.6707070	0.2686968
9601	species	PONGO ABELII	13.1213363544231	203	6.4637125	0.7575758
9606	species	HOMO SAPIENS	12.9022038202779	164	7.8671975	0.6120316
10116	species	RATTUS NORVEGICUS	11.1318787463363	127	8.7652589	0.4739513
77133	species	UNCULTURED BACTERIUM	9.23501348721454	38	24.3026671	0.1418122
252962	species	OSCARELLA TUBERCULATA	7.563391773337	24	31.5141324	0.0895656
10090	species	MUS MUSCULUS	7.44652792651437	181	4.1141038	0.6754740
763931	species	KOFOIDINIUM CF. PAVILLARDII	7	8	87.5000000	0.0298552
10020	species	DIPODOMYS ORDII	6.63786349607297	41	16.1899110	0.1530079
9978	species	OCHOTONA PRINCEPS	6.44441780064925	81	7.9560714	0.3022839
42254	species	SOREX ARANEUS	6.2254997982238	75	8.3006664	0.2798925
683832	species	CIRRHINUS MRIGALA	6.05155455110165	27	22.4131650	0.1007613
9598	species	PAN TROGLODYTES	4.77045539694517	152	3.1384575	0.5672488
37347	species	TUPAIA BELANGERI	4.70770100003268	121	3.8906620	0.4515599
1157685	species	RHIZOBIUM SP. JGI 0001005 H05	4.22384653600965	27	15.6438761	0.1007613
203449	species	UNCULTURED MARINE EUKARYOTE	3.72386926778901	33	11.2844523	0.1231527
61392	species	COEMANSIA REVERSA	3.45079753145	23	15.0034675	0.0858337
405008	species	EUCOMONYMPHA IMLA	3.24226154007623	31	10.4589082	0.1156889
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	2.989071034845	33	9.0577910	0.1231527
604433	species	ARBOROPHILA RUFOGULARIS	2.8312414980795	18	15.7291194	0.0671742
9371	species	ECHINOPS TELFAIRI	2.5924374937442	101	2.5667698	0.3769219
479641	species	VACELETIA SP. GW948	2.54545454545456	29	8.7774295	0.1082251
1104615	species	MICROGENOMATES BACTERIUM SCGC AAA011 L05	2.49184185330505	24	10.3826744	0.0895656
33695	species	TUBULINOSEMA KINGI	2.4475643626747	33	7.4168617	0.1231527
415603	species	INFUNDIBULOMYCES SP. NR 2006A	2.4415452651242	24	10.1731053	0.0895656
315267	species	UNCULTURED FRESHWATER EUKARYOTE	2.428572671389	15	16.1904845	0.0559785
9365	species	ERINACEUS EUROPAEUS	2.40838530257064	173	1.3921302	0.6456187
8795	species	PTEROCNEMIA PENNATA	2.1973798778693	112	1.9619463	0.4179728
152704	species	UNCULTURED STRAMENOPILE	2.05031618528495	12	17.0859682	0.0447828
667497	species	BACILLUS SP. 210_58	1.860644916636	3	62.0214972	0.0111957
157820	species	UNCULTURED PRASINOPHYCEAE	1.7998590803138	5	35.9971816	0.0186595
9986	species	ORYCTOLAGUS CUNICULUS	1.79802137893726	121	1.4859681	0.4515599
471281	species	EIMERIA COECICOLA	1.6033821696686	3	53.4460723	0.0111957
187300	species	UNCULTURED DINOFLAGELLATE	1.5553734631343	9	17.2819274	0.0335871
5808	species	CRYPTOSPORIDIUM MURIS	1.55122220179723	53	2.9268343	0.1977907
384638	species	[BACTEROIDES] PECTINOPHILUS	1.5466818315155	5	30.9336366	0.0186595
86637	species	GYROPAIGNE LEFEVREI	1.50526559001	9	16.7251732	0.0335871
45157	species	CYANIDIOSCHYZON MEROLAE	1.40404009547827	14	10.0288578	0.0522466
189424	species	MENOIDIUM SP. CCAP 1247/6	1.395451740176	9	15.5050193	0.0335871
1047006	species	OMNITROPHICA BACTERIUM SCGC AAA252 B19	1.3941518286751	11	12.6741075	0.0410509
217026	species	AUXIS ROCHEI	1.376821679895	7	19.6688811	0.0261233
754195	species	BUNDLEIA NANA	1.3618100624243	4	34.0452516	0.0149276
1394710	species	CANDIDATE DIVISION WWE3 BACTERIUM RAAC2_WWE3_1	1.31004601965575	18	7.2780334	0.0671742
5180	species	SCLEROTINIA SCLEROTIORUM	1.26282424305773	45	2.8062761	0.1679355
336262	species	DOROSOMA CEPEDIANUM	1.256390984792	5	25.1278197	0.0186595
699262	species	MICROGENOMATES BACTERIUM SCGC AAA011 L6	1.2361852685547	14	8.8298948	0.0522466
187299	species	UNCULTURED CILIATE	1.18734639640902	7	16.9620914	0.0261233
554078	species	UNCULTURED RHIZARIA	1.184874290088	6	19.7479048	0.0223914
5241	species	TULASNELLA VIOLEA	1.1731031257002	105	1.1172411	0.3918495
231055	species	UNCULTURED GLOMUS	1.165583787302	5	23.3116757	0.0186595
8801	species	STRUTHIO CAMELUS	1.15171040116728	122	0.9440249	0.4552918
175245	species	UNCULTURED FUNGUS	1.1350932915833	4	28.3773323	0.0149276
8824	species	APTERYX OWENII	1.12874333157537	69	1.6358599	0.2575011
8060	species	POLLACHIUS VIRENS	1.1178528144582	84	1.3307772	0.3134796
908469	species	TRICHOTOSPOREA PYGOPELLITA	1.117231228993	3	37.2410410	0.0111957
122240	species	PROCERAEA CORNUTA	1.099246495403	2	54.9623248	0.0074638
1407671	species	UNCULTURED MEDITERRANEAN PHAGE UVMED	1.0487921500931	4	26.2198038	0.0149276
3694	species	POPULUS TRICHOCARPA	1.038826911363	92	1.1291597	0.3433348
147466	species	EMEUS CRASSUS	1.03569978486394	16	6.4731237	0.0597104
9785	species	LOXODONTA AFRICANA	1.03274752644233	52	1.9860529	0.1940588
559495	species	ARBOROPHILA RUFIPECTUS	1.03105638594952	17	6.0650376	0.0634423
173225	species	TACHYCINETA MEYENI	1.0188611413845	2	50.9430571	0.0074638
3988	species	RICINUS COMMUNIS	1.000064131805	74	1.3514380	0.2761606
377137	species	SPIROCHETE ENDOSYMBIONT OF A LUCINID BIVALVE	1	1	100.0000000	0.0037319
100371	species	UNCULTURED PLANCTOMYCETALES BACTERIUM	1	2	50.0000000	0.0074638
293275	species	SYMBIODINIUM SP. CLADE C	1	1	100.0000000	0.0037319
30538	species	VICUGNA PACOS	1	64	1.5625000	0.2388416
1104610	species	MICROGENOMATES BACTERIUM SCGC AAA011 B20	0.9882770514738	10	9.8827705	0.0373190
439317	species	GAMBIERDISCUS AUSTRALES	0.9722087884731	2	48.6104394	0.0074638
173223	species	TACHYCINETA ALBIVENTER	0.968204713651	1	96.8204714	0.0037319
411803	species	DOLICHODORUS SP. WY 2006	0.966414286855	1	96.6414287	0.0037319
175274	species	UNCULTURED ALVEOLATE	0.966307335323	3	32.2102445	0.0111957
8790	species	DROMAIUS NOVAEHOLLANDIAE	0.927250809975233	108	0.8585656	0.4030452
332220	species	NEOCHLOROSARCINA MINUTA	0.907332407997	1	90.7332408	0.0037319
4113	species	SOLANUM TUBEROSUM	0.8857387229146	35	2.5306821	0.1306165
1071503	species	MYCOBACTERIUM PHAGE TRIXIE	0.881216730002825	7	12.5888104	0.0261233
114243	species	UNCULTURED EURYARCHAEOTE	0.88055932706	1	88.0559327	0.0037319
690562	species	VIRGIBACILLUS SP. PL31	0.871517296241	2	43.5758648	0.0074638
9685	species	FELIS CATUS	0.870064721732815	151	0.5762018	0.5635169
56262	species	PANDION HALIAETUS	0.869724713980667	7	12.4246388	0.0261233
52061	species	STENOSTOMUM LEUCOPS	0.869161077912	18	4.8286727	0.0671742
5871	species	BABESIA CABALLI	0.859735680166	30	2.8657856	0.1119570
66847	species	LEPOCINCLIS BUETSCHLII	0.859553833922	2	42.9776917	0.0074638
198507	species	LABEO SENEGALENSIS	0.8468595044713	13	6.5143039	0.0485147
404816	species	PLEUROBRANCHAEA CALIFORNICA	0.843867297961	1	84.3867298	0.0037319
64183	species	UTERIPORUS SP. SC 1997	0.821872723723	4	20.5468181	0.0149276
303551	species	GONYAULAX FRAGILIS	0.802950352954	6	13.3825059	0.0223914
5787	species	DICTYOSTELIUM GIGANTEUM	0.788275165588	136	0.5796141	0.5075384
35128	species	THALASSIOSIRA PSEUDONANA	0.788179527245057	22	3.5826342	0.0821018
85101	species	UROCOLIUS MACROURUS	0.784515131374	1	78.4515131	0.0037319
9078	species	ALECTORIS CHUKAR	0.7835921453925	52	1.5069080	0.1940588
240359	species	THECADINIUM MUCOSUM	0.780667399584	6	13.0111233	0.0223914
233856	species	BENSINGTONIA CHANGBAIENSIS	0.766283349387	1	76.6283349	0.0037319
591197	species	IGNAVIBACTERIUM ALBUM	0.765149698376	5	15.3029940	0.0186595
136703	species	UNCULTURED RUMEN BACTERIUM	0.762351277322	2	38.1175639	0.0074638
13676	species	SCOMBER JAPONICUS	0.757237796352	6	12.6206299	0.0223914
341166	species	UNCULTURED CHLAMYDOMONADALES	0.75715891193	1	75.7158912	0.0037319
5741	species	GIARDIA INTESTINALIS	0.751721568222047	67	1.1219725	0.2500373
136180	species	ACARTIA TONSA	0.75068450506	1	75.0684505	0.0037319
472931	species	PROTOSTELIUM MYCOPHAGUM	0.73845190991	1	73.8451910	0.0037319
1104602	species	ATRIBACTERIA BACTERIUM JGI 0000014 F07	0.737833113964	3	24.5944371	0.0111957
27973	species	ENCEPHALITOZOON HELLEM	0.73676367907182	23	3.2033203	0.0858337
629763	species	CERCOZOA SP. CC 2009E	0.730680663022	1	73.0680663	0.0037319
115547	species	UNCULTURED ARCHAEON	0.7176614217963	3	23.9220474	0.0111957
1047061	species	MARINIMICROBIA BACTERIUM JGI 0000059 L03	0.715865762792	7	10.2266538	0.0261233
311244	species	PAENIBACILLUS ASSAMENSIS	0.705845142079	1	70.5845142	0.0037319
285696	species	UNCULTURED PARABASALID EUKARYOTE	0.6818865370306	6	11.3647756	0.0223914
120990	species	CABEREA BORYI	0.67173089726	1	67.1730897	0.0037319
8811	species	ANOMALOPTERYX DIDIFORMIS	0.6709252311195	72	0.9318406	0.2686968
226068	species	PISTA SP. AMW28493	0.670923012228	1	67.0923012	0.0037319
9597	species	PAN PANISCUS	0.6694272597532	86	0.7784038	0.3209434
1392	species	BACILLUS ANTHRACIS	0.6676636465912	93	0.7179179	0.3470667
5022	species	LEPTOSPHAERIA MACULANS	0.6666931230228	69	0.9662219	0.2575011
8797	species	RHEA AMERICANA	0.6625945133636	157	0.4220347	0.5859083
297798	species	ETHMALOSA FIMBRIATA	0.66151993536075	6	11.0253323	0.0223914
665941	species	COPROBACILLUS SP. 3_3_56FAA	0.650694408738	2	32.5347204	0.0074638
315745	species	UNCULTURED PHYLLOPHARYNGID CILIATE	0.64394810815	2	32.1974054	0.0074638
554024	species	NEMATODA ENVIRONMENTAL SAMPLE	0.6358141640309	3	21.1938055	0.0111957
570717	species	CENTROBOLUS RUBRICOLLIS	0.63205428399	1	63.2054284	0.0037319
240163	species	NIBEA ALBIFLORA	0.62828253384245	8	7.8535317	0.0298552
9595	subspecies	GORILLA GORILLA GORILLA	0.6182443564588	77	0.8029147	0.2873563
8823	species	APTERYX HAASTII	0.6117243790816	170	0.3598379	0.6344230
8005	species	ELECTROPHORUS ELECTRICUS	0.6107571406408	29	2.1060591	0.1082251
293	species	BREVUNDIMONAS DIMINUTA	0.608973358227	1191	0.0511313	4.4446932
9544	species	MACACA MULATTA	0.60589329934964	105	0.5770412	0.3918495
33688	species	AMBLYOSPORA SP.	0.6041687056046	7	8.6309815	0.0261233
308594	species	KIRCHENPAUERIA HALECIOIDES	0.582984549143	1	58.2984549	0.0037319
496878	species	HEXAMASTIX MITIS	0.5794576205699	5	11.5891524	0.0186595
9615	subspecies	CANIS LUPUS FAMILIARIS	0.5740058115799	21	2.7333610	0.0783699
464988	species	HEMISELMIS ANDERSENII	0.57097617466636	9	6.3441797	0.0335871
170407	species	HALIMEDA BORNEENSIS	0.5701326833401	7	8.1447526	0.0261233
682391	species	SPHAERODES SP. SMCD2220	0.566043083833	2	28.3021542	0.0074638
547188	species	PHYCISPHAERA MIKURENSIS	0.541025751809867	28	1.9322348	0.1044932
