TaxaID	Taxonomic_Rank	Name	Count	Probability	Proportion_Classified(%)
77133	species	UNCULTURED BACTERIUM	34.5611101390189	127	27.2134726	0.1179322
10020	species	DIPODOMYS ORDII	22.2517475421886	72	30.9052049	0.0668592
10116	species	RATTUS NORVEGICUS	21.4533500984275	216	9.9321065	0.2005776
9590	species	SYMPHALANGUS SYNDACTYLUS	21.4162366136612	432	4.9574622	0.4011552
100272	species	UNCULTURED EUKARYOTE	20.9827975440297	95	22.0871553	0.0882170
9606	species	HOMO SAPIENS	18.7031580499151	188	9.9484883	0.1745768
10090	species	MUS MUSCULUS	14.5534980617673	350	4.1581423	0.3250100
252962	species	OSCARELLA TUBERCULATA	14.338515424386	47	30.5074796	0.0436442
42254	species	SOREX ARANEUS	13.7396407929778	52	26.4223861	0.0482872
9601	species	PONGO ABELII	11.1556854492802	267	4.1781593	0.2479362
763931	species	KOFOIDINIUM CF. PAVILLARDII	9.72279922229	14	69.4485659	0.0130004
357284	species	HOMALOPTERA LEONARDI	9.6920675640899	61	15.8886354	0.0566446
9978	species	OCHOTONA PRINCEPS	8.131742474661	178	4.5683946	0.1652908
9598	species	PAN TROGLODYTES	7.51227142536771	132	5.6911147	0.1225752
61392	species	COEMANSIA REVERSA	7.4920664593321	36	20.8112957	0.0334296
37347	species	TUPAIA BELANGERI	6.05236921124405	156	3.8797239	0.1448616
1157685	species	RHIZOBIUM SP. JGI 0001005 H05	6.03225256602355	42	14.3625061	0.0390012
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	4.894162729806	14	34.9583052	0.0130004
9986	species	ORYCTOLAGUS CUNICULUS	4.8860304527283	164	2.9792869	0.1522904
72520	species	NANNOCHLOROPSIS GADITANA	4.83009460812005	66	7.3183252	0.0612876
5241	species	TULASNELLA VIOLEA	4.794589130441	62	7.7332083	0.0575732
152704	species	UNCULTURED STRAMENOPILE	4.7668839951901	14	34.0491714	0.0130004
9371	species	ECHINOPS TELFAIRI	3.8826528288926	128	3.0333225	0.1188608
187300	species	UNCULTURED DINOFLAGELLATE	3.8663726523659	35	11.0467790	0.0325010
1047006	species	OMNITROPHICA BACTERIUM SCGC AAA252 B19	3.8582508867422	21	18.3726233	0.0195006
1104615	species	MICROGENOMATES BACTERIUM SCGC AAA011 L05	3.51292799181345	32	10.9779000	0.0297152
405008	species	EUCOMONYMPHA IMLA	3.40588004798858	39	8.7330258	0.0362154
115547	species	UNCULTURED ARCHAEON	3.3604566444377	10	33.6045664	0.0092860
85101	species	UROCOLIUS MACROURUS	3.26272418226	8	40.7840523	0.0074288
33695	species	TUBULINOSEMA KINGI	3.16151320990322	73	4.3308400	0.0677878
415603	species	INFUNDIBULOMYCES SP. NR 2006A	2.95155161119369	29	10.1777642	0.0269294
683832	species	CIRRHINUS MRIGALA	2.9373910028487	14	20.9813643	0.0130004
175275	species	UNCULTURED CERCOZOAN	2.7002148497128	17	15.8836168	0.0157862
203449	species	UNCULTURED MARINE EUKARYOTE	2.58802256253857	22	11.7637389	0.0204292
1104610	species	MICROGENOMATES BACTERIUM SCGC AAA011 B20	2.4594012268107	11	22.3581930	0.0102146
9739	species	TURSIOPS TRUNCATUS	2.15324274982424	117	1.8403784	0.1086462
28152	species	YERSINIA KRISTENSENII	2.117270981836	17	12.4545352	0.0157862
35128	species	THALASSIOSIRA PSEUDONANA	2.09160551227724	62	3.3735573	0.0575732
9615	subspecies	CANIS LUPUS FAMILIARIS	1.9366367803378	61	3.1748144	0.0566446
175247	species	UNCULTURED CHYTRIDIOMYCOTA	1.8889598644907	8	23.6119983	0.0074288
1407671	species	UNCULTURED MEDITERRANEAN PHAGE UVMED	1.8548638781202	7	26.4980554	0.0065002
5808	species	CRYPTOSPORIDIUM MURIS	1.84997474266235	127	1.4566730	0.1179322
9365	species	ERINACEUS EUROPAEUS	1.83019907177244	202	0.9060391	0.1875772
303551	species	GONYAULAX FRAGILIS	1.786656419634	10	17.8665642	0.0092860
189424	species	MENOIDIUM SP. CCAP 1247/6	1.673408264062	6	27.8901377	0.0055716
1394710	species	CANDIDATE DIVISION WWE3 BACTERIUM RAAC2_WWE3_1	1.67242723442175	20	8.3621362	0.0185720
240359	species	THECADINIUM MUCOSUM	1.610913881575	8	20.1364235	0.0074288
64183	species	UTERIPORUS SP. SC 1997	1.590578270561	4	39.7644568	0.0037144
1036674	species	IDIOMARINA SP. A28L	1.495315863664	7	21.3616552	0.0065002
9685	species	FELIS CATUS	1.44499057809282	215	0.6720886	0.1996490
256318	species	METAGENOME	1.4384044561957	6	23.9734076	0.0055716
1003144	species	TRIGONIUM FORMOSUM	1.383424625327	5	27.6684925	0.0046430
6239	species	CAENORHABDITIS ELEGANS	1.35667633765	48	2.8264090	0.0445728
1047061	species	MARINIMICROBIA BACTERIUM JGI 0000059 L03	1.3499136261868	11	12.2719421	0.0102146
1260624	species	IDIOMARINA SP. 28 8	1.34689008958	2	67.3445045	0.0018572
477976	species	CALDITERRIVIBRIO NITROREDUCENS	1.28690988836273	18	7.1494994	0.0167148
410661	species	MOUSE GUT METAGENOME	1.2680360318344	3	42.2678677	0.0027858
118000	species	DENITROVIBRIO ACETIPHILUS	1.23062812590367	14	8.7902009	0.0130004
591197	species	IGNAVIBACTERIUM ALBUM	1.229756756252	8	15.3719595	0.0074288
231055	species	UNCULTURED GLOMUS	1.216550580195	7	17.3792940	0.0065002
439317	species	GAMBIERDISCUS AUSTRALES	1.185853933587	5	23.7170787	0.0046430
460511	species	UNCULTURED SPIROCHAETES BACTERIUM	1.182947984494	2	59.1473992	0.0018572
91750	species	UNCULTURED ALPHA PROTEOBACTERIUM	1.16578014238307	8	14.5722518	0.0074288
43179	species	ICTIDOMYS TRIDECEMLINEATUS	1.1481283503806	13	8.8317565	0.0120718
373995	species	TENUALOSA ILISHA	1.1272478645521	3	37.5749288	0.0027858
27973	species	ENCEPHALITOZOON HELLEM	1.09648018169973	40	2.7412005	0.0371440
479641	species	VACELETIA SP. GW948	1.0909090909091	12	9.0909091	0.0111432
86637	species	GYROPAIGNE LEFEVREI	1.021069963575	14	7.2933569	0.0130004
496924	species	FISH METAGENOME	1.0154189822697	2	50.7709491	0.0018572
56899	species	PARASITAXUS USTA	1	3	33.3333333	0.0027858
34771	species	LEPISOSTEUS OSSEUS	0.977813319012535	11	8.8892120	0.0102146
45157	species	CYANIDIOSCHYZON MEROLAE	0.946200547599233	58	1.6313803	0.0538588
547188	species	PHYCISPHAERA MIKURENSIS	0.93311802449735	49	1.9043225	0.0455014
1017163	species	MYXOBOLUS GROENLANDICUS	0.92193281438	2	46.0966407	0.0018572
13616	species	MONODELPHIS DOMESTICA	0.917370123979	11	8.3397284	0.0102146
631	species	YERSINIA INTERMEDIA	0.9135129917391	1019	0.0896480	0.9462433
509079	species	ULVA SP. P36	0.911473525643	2	45.5736763	0.0018572
146256	species	UNCULTURED BANISVELD LANDFILL BACTERIUM BVC83	0.910683439196	3	30.3561146	0.0027858
119	species	PLANCTOMYCES BRASILIENSIS	0.9085163605966	2514	0.0361383	2.3345003
184585	species	ENGRAULIS ENCRASICOLUS	0.907240875287	2	45.3620438	0.0018572
535189	species	AUSTROCHTHONIUS SP. AUSTRALIA	0.89087400622	1	89.0874006	0.0009286
266821	species	BODONIDAE SP. RIVER THAMES	0.888849087418	1	88.8849087	0.0009286
134680	species	ANTARCTOSACCION APPLANATUM	0.888772454032	2	44.4386227	0.0018572
643345	species	PSILORHYNCHUS SUCATIO	0.884129256147	1	88.4129256	0.0009286
9597	species	PAN PANISCUS	0.88327710129068	120	0.7360643	0.1114320
552376	species	PSEUDOMONAS SP. IGCAR 14/08	0.881282774584	1	88.1282775	0.0009286
63363	species	AQUIFEX AEOLICUS	0.875736272974667	12	7.2978023	0.0111432
186490	species	CANDIDATUS BAUMANNIA CICADELLINICOLA	0.867664032349	1	86.7664032	0.0009286
173223	species	TACHYCINETA ALBIVENTER	0.858664628308	1	85.8664628	0.0009286
315753	species	UNCULTURED LABYRINTHULID	0.8565931142542	12	7.1382760	0.0111432
217026	species	AUXIS ROCHEI	0.85599242898655	7	12.2284633	0.0065002
9544	species	MACACA MULATTA	0.847308146665816	106	0.7993473	0.0984316
175274	species	UNCULTURED ALVEOLATE	0.845782072235	3	28.1927357	0.0027858
7245	species	DROSOPHILA YAKUBA	0.831132083696	313	0.2655374	0.2906518
403944	species	STAPHYLOCOCCUS SP. SK1 1 2	0.826931841928	2	41.3465921	0.0018572
243633	species	PROPIONIBACTERIUM SP. RENNANQILFY60	0.823351710984	1	82.3351711	0.0009286
56262	species	PANDION HALIAETUS	0.811274594734667	6	13.5212432	0.0055716
1147137	species	CLOSTRIDIUM PHAGE PHI8074 B1	0.809941361183	1	80.9941361	0.0009286
52958	species	PHOTOTROPHIC BACTERIUM	0.804753778332	6	13.4125630	0.0055716
1431825	species	CANDIDATUS OMNITROPHUS FODINAE	0.802176374998067	16	5.0136023	0.0148576
764556	species	POLYPTERUS SP. GOLDEN DUST	0.801324777106	1	80.1324777	0.0009286
33688	species	AMBLYOSPORA SP.	0.7924640537667	17	4.6615533	0.0157862
699262	species	MICROGENOMATES BACTERIUM SCGC AAA011 L6	0.7923760913228	11	7.2034190	0.0102146
1437839	species	MYCOBACTERIUM PHAGE ECHILD	0.7894452440953	9	8.7716138	0.0083574
173225	species	TACHYCINETA MEYENI	0.783149296558	1	78.3149297	0.0009286
41871	species	ACIPENSER FULVESCENS	0.777330404524	22	3.5333200	0.0204292
187299	species	UNCULTURED CILIATE	0.776324861294	3	25.8774954	0.0027858
262240	species	UROSPORIDIUM PARASITE OF STICTODORA LARI	0.775934908654	1	77.5934909	0.0009286
402406	species	PELLONULA LEONENSIS	0.7723463044046	4	19.3086576	0.0037144
554078	species	UNCULTURED RHIZARIA	0.7653780397935	5	15.3075608	0.0046430
249168	species	UNCULTURED RICKETTSIA SP.	0.765318810712	3	25.5106270	0.0027858
61495	species	PEZIZA ECHINOSPORA	0.762479189484	9	8.4719910	0.0083574
293889	species	NYGOLAIMUS CF. BRACHYURIS JH 2004	0.756200479032	2	37.8100240	0.0018572
83344	species	PSEUDOCERCOSPORA FIJIENSIS	0.7454955411478	6	12.4249257	0.0055716
377137	species	SPIROCHETE ENDOSYMBIONT OF A LUCINID BIVALVE	0.743236582388	7	10.6176655	0.0065002
604433	species	ARBOROPHILA RUFOGULARIS	0.736622863068	3	24.5540954	0.0027858
96649	species	PELODERA PUNCTATA	0.729251195334	9	8.1027911	0.0083574
554024	species	NEMATODA ENVIRONMENTAL SAMPLE	0.7251716021654	6	12.0861934	0.0055716
