TaxaID	Taxonomic_Rank	Name	Count	Probability	Proportion_Classified(%)
77133	species	UNCULTURED BACTERIUM	22.1354396184493	62	35.7023220	0.0512185
100272	species	UNCULTURED EUKARYOTE	21.0904409311829	94	22.4366393	0.0776539
9590	species	SYMPHALANGUS SYNDACTYLUS	20.8882478227391	374	5.5850930	0.3089632
252962	species	OSCARELLA TUBERCULATA	13.3086566891695	45	29.5747926	0.0371747
9606	species	HOMO SAPIENS	12.8502900319321	172	7.4710989	0.1420900
10116	species	RATTUS NORVEGICUS	11.9123663485237	119	10.0103919	0.0983065
357284	species	HOMALOPTERA LEONARDI	10.7378410410409	74	14.5105960	0.0611318
9601	species	PONGO ABELII	10.4796054151093	265	3.9545681	0.2189178
10090	species	MUS MUSCULUS	9.56496128722416	234	4.0875903	0.1933086
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	7.960591002905	26	30.6176577	0.0214787
9598	species	PAN TROGLODYTES	7.35670216043771	172	4.2771524	0.1420900
10020	species	DIPODOMYS ORDII	7.3480987850008	27	27.2151807	0.0223048
61392	species	COEMANSIA REVERSA	6.160788722801	43	14.3274156	0.0355225
1157685	species	RHIZOBIUM SP. JGI 0001005 H05	6.1118573080598	31	19.7156687	0.0256093
203449	species	UNCULTURED MARINE EUKARYOTE	5.5426763326599	31	17.8796011	0.0256093
42254	species	SOREX ARANEUS	5.48033934027692	24	22.8347473	0.0198265
37347	species	TUPAIA BELANGERI	5.06001447682807	88	5.7500165	0.0726972
72520	species	NANNOCHLOROPSIS GADITANA	4.79586388206257	55	8.7197525	0.0454358
1047006	species	OMNITROPHICA BACTERIUM SCGC AAA252 B19	3.93536564827738	16	24.5960353	0.0132177
9978	species	OCHOTONA PRINCEPS	3.7304185370942	50	7.4608371	0.0413052
256318	species	METAGENOME	3.6157105309958	11	32.8700957	0.0090872
187300	species	UNCULTURED DINOFLAGELLATE	3.5020675219	26	13.4694905	0.0214787
683832	species	CIRRHINUS MRIGALA	3.12536226747945	16	19.5335142	0.0132177
405008	species	EUCOMONYMPHA IMLA	2.72514091662481	44	6.1935021	0.0363486
152704	species	UNCULTURED STRAMENOPILE	2.656485304475	9	29.5165034	0.0074349
415603	species	INFUNDIBULOMYCES SP. NR 2006A	2.62415526344336	34	7.7181037	0.0280876
9986	species	ORYCTOLAGUS CUNICULUS	2.61728214576279	102	2.5659629	0.0842627
33695	species	TUBULINOSEMA KINGI	2.59268611852606	40	6.4817153	0.0330442
175245	species	UNCULTURED FUNGUS	2.2119677168739	7	31.5995388	0.0057827
1104615	species	MICROGENOMATES BACTERIUM SCGC AAA011 L05	2.2109227956906	20	11.0546140	0.0165221
1104610	species	MICROGENOMATES BACTERIUM SCGC AAA011 B20	2.1329634487675	10	21.3296345	0.0082610
9365	species	ERINACEUS EUROPAEUS	2.08317311901927	108	1.9288640	0.0892193
763931	species	KOFOIDINIUM CF. PAVILLARDII	2	2	100.0000000	0.0016522
46218	species	COTURNIX CHINENSIS	1.7739891671168	10	17.7398917	0.0082610
9371	species	ECHINOPS TELFAIRI	1.7594428174732	109	1.6141677	0.0900454
5808	species	CRYPTOSPORIDIUM MURIS	1.74207255771714	39	4.4668527	0.0322181
56262	species	PANDION HALIAETUS	1.648456240912	11	14.9859658	0.0090872
118000	species	DENITROVIBRIO ACETIPHILUS	1.514232658158	9	16.8248073	0.0074349
1394710	species	CANDIDATE DIVISION WWE3 BACTERIUM RAAC2_WWE3_1	1.51146805567695	11	13.7406187	0.0090872
86473	species	UNCULTURED GAMMA PROTEOBACTERIUM	1.3892638972966	5	27.7852779	0.0041305
29281	species	UNCULTURED CRENARCHAEOTE	1.364124987595	5	27.2824998	0.0041305
1047061	species	MARINIMICROBIA BACTERIUM JGI 0000059 L03	1.3617723399262	10	13.6177234	0.0082610
385043	species	UNCULTURED SYNDINIALES	1.3338324970485	6	22.2305416	0.0049566
231055	species	UNCULTURED GLOMUS	1.314880553712	9	14.6097839	0.0074349
60468	species	AGAPORNIS ROSEICOLLIS	1.3113935427525	8	16.3924193	0.0066088
119	species	PLANCTOMYCES BRASILIENSIS	1.2735549716215	2064	0.0617032	1.7050805
554024	species	NEMATODA ENVIRONMENTAL SAMPLE	1.27184612980674	8	15.8980766	0.0066088
4113	species	SOLANUM TUBEROSUM	1.2704978227801	124	1.0245950	0.1024370
120965	species	UNCULTURED PLANCTOMYCETE	1.2696426123713	7	18.1377516	0.0057827
303551	species	GONYAULAX FRAGILIS	1.219967265486	8	15.2495908	0.0066088
175274	species	UNCULTURED ALVEOLATE	1.1975078665568	9	13.3056430	0.0074349
240359	species	THECADINIUM MUCOSUM	1.185641683314	8	14.8205210	0.0066088
604433	species	ARBOROPHILA RUFOGULARIS	1.1748322550662	12	9.7902688	0.0099133
9544	species	MACACA MULATTA	1.16961677374768	84	1.3924009	0.0693928
217026	species	AUXIS ROCHEI	1.168187644081	6	19.4697941	0.0049566
5741	species	GIARDIA INTESTINALIS	1.16002198197479	56	2.0714678	0.0462619
424	species	METHYLOMONAS RUBRA	1.14034769837	1028	0.1109288	0.8492359
1157681	species	CAULOBACTER SP. JGI 0001013 O16	1.11625542091	4	27.9063855	0.0033044
501324	species	MYXOBOLUS ALBI	1.09993455345	4	27.4983638	0.0033044
175244	species	UNCULTURED BASIDIOMYCOTA	1.091979472603	3	36.3993158	0.0024783
146626	species	BUELLIA GEORGEI	1.0567189764033	9	11.7413220	0.0074349
35128	species	THALASSIOSIRA PSEUDONANA	1.03781049506244	30	3.4593683	0.0247831
547188	species	PHYCISPHAERA MIKURENSIS	1.01660107316358	53	1.9181152	0.0437836
304914	species	SINOCYCLOCHEILUS ALTISHOULDERUS	1.0141899234152	7	14.4884275	0.0057827
91750	species	UNCULTURED ALPHA PROTEOBACTERIUM	1	1	100.0000000	0.0008261
47071	species	BLACKFORDIA VIRGINICA	1	3	33.3333333	0.0024783
8824	species	APTERYX OWENII	0.997284787445	46	2.1680104	0.0380008
9597	species	PAN PANISCUS	0.99383490599358	169	0.5880680	0.1396117
713149	species	APHELENCHOIDES SP. KP	0.954230454605	1	95.4230455	0.0008261
955	species	WOLBACHIA PIPIENTIS	0.946899596968	711	0.1331786	0.5873606
477976	species	CALDITERRIVIBRIO NITROREDUCENS	0.942575140519433	8	11.7821893	0.0066088
175275	species	UNCULTURED CERCOZOAN	0.8871075923148	8	11.0888449	0.0066088
43352	species	DIENTAMOEBA FRAGILIS	0.879361196444	6	14.6560199	0.0049566
1260624	species	IDIOMARINA SP. 28 8	0.878824472343	3	29.2941491	0.0024783
182556	species	CYTHEROPTERON SUBUCHIOI	0.877161506407	1	87.7161506	0.0008261
1407671	species	UNCULTURED MEDITERRANEAN PHAGE UVMED	0.84582874873522	7	12.0832678	0.0057827
313438	species	HAPLOSPORIDIUM SP. MYE 2005	0.844828859868	1	84.4828860	0.0008261
591197	species	IGNAVIBACTERIUM ALBUM	0.839860861614	6	13.9976810	0.0049566
154	species	SPIROCHAETA THERMOPHILA	0.838721070459	3114	0.0269339	2.5724907
496920	species	SALTERN METAGENOME	0.838025278376	2	41.9012639	0.0016522
9258	species	ORNITHORHYNCHUS ANATINUS	0.8329006524884	64	1.3014073	0.0528707
699262	species	MICROGENOMATES BACTERIUM SCGC AAA011 L6	0.8156837924271	10	8.1568379	0.0082610
445360	species	PELLONA DITCHELA	0.78753489831	3	26.2511633	0.0024783
63363	species	AQUIFEX AEOLICUS	0.774161724240167	22	3.5189169	0.0181743
35774	species	CANDIDATUS PHYTOPLASMA ULMI	0.773101413983	2	38.6550707	0.0016522
45157	species	CYANIDIOSCHYZON MEROLAE	0.7668129659575	20	3.8340648	0.0165221
126669	species	AMPHISORUS HEMPRICHII	0.743632893086	6	12.3938816	0.0049566
9595	subspecies	GORILLA GORILLA GORILLA	0.7359420083565	72	1.0221417	0.0594796
9685	species	FELIS CATUS	0.730742114086802	119	0.6140690	0.0983065
8795	species	PTEROCNEMIA PENNATA	0.7280135272869	182	0.4000074	0.1503511
182762	species	BOREOPHYLLUM AESTIVALE	0.722985889192	2	36.1492945	0.0016522
9615	subspecies	CANIS LUPUS FAMILIARIS	0.722386119216	80	0.9029826	0.0660884
152509	species	UNCULTURED BACTEROIDETES BACTERIUM	0.716650363181	2	35.8325182	0.0016522
340708	species	AGGREGATA OCTOPIANA	0.7137776479457	4	17.8444412	0.0033044
371528	species	INGOLFIELLA TABULARIS	0.7115477723582	3	23.7182591	0.0024783
33688	species	AMBLYOSPORA SP.	0.7039601626995	10	7.0396016	0.0082610
57847	species	PETROSCIRTES BREVICEPS	0.682317967963667	9	7.5813108	0.0074349
647155	species	MELOIDODERITA SP. MERISP3	0.681508850032	1	68.1508850	0.0008261
1431825	species	CANDIDATUS OMNITROPHUS FODINAE	0.675083084739667	13	5.1929468	0.0107394
315267	species	UNCULTURED FRESHWATER EUKARYOTE	0.6553990461261	4	16.3849762	0.0033044
146919	species	SALINIBACTER RUBER	0.651711322803133	13	5.0131640	0.0107394
1071503	species	MYCOBACTERIUM PHAGE TRIXIE	0.641803947187275	11	5.8345813	0.0090872
1036674	species	IDIOMARINA SP. A28L	0.640673648667	3	21.3557883	0.0024783
1076179	species	BIOREACTOR METAGENOME	0.638934875477	4	15.9733719	0.0033044
337027	species	OEDOGONIUM ACROSPORUM	0.63601770832	2	31.8008854	0.0016522
756882	species	LEPILEMUR HUBBARDORUM	0.635825990854233	6	10.5970998	0.0049566
86637	species	GYROPAIGNE LEFEVREI	0.630940788182	5	12.6188158	0.0041305
122	species	PLANCTOMYCES MARIS	0.624680654825	2490	0.0250876	2.0570012
261658	species	DICTYOSTELIUM FASCICULATUM	0.6160871321466	6	10.2681189	0.0049566
559495	species	ARBOROPHILA RUFIPECTUS	0.60927914829565	10	6.0927915	0.0082610
189424	species	MENOIDIUM SP. CCAP 1247/6	0.600383450333	4	15.0095863	0.0033044
7426	species	NASONIA GIRAULTI	0.5937412666423	35	1.6964036	0.0289137
13686	species	SOLENOPSIS INVICTA	0.593177579236	9	6.5908620	0.0074349
40518	species	RUMINOCOCCUS BROMII	0.59168771094142	11	5.3789792	0.0090872
70528	species	AMBLYOSPORA STIMULI	0.58645935825	9	6.5162151	0.0074349
64183	species	UTERIPORUS SP. SC 1997	0.580986732829	8	7.2623342	0.0066088
5180	species	SCLEROTINIA SCLEROTIORUM	0.572720197398167	36	1.5908894	0.0297398
