#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	1139.78207998104
1092	species	CHLOROBIUM LIMICOLA	1.848486631016
188475	species	UNCULTURED HOLOPHAGA SP.	1.828137872204
586789	species	CENTROPYGE LORICULA	1.8279914739825
109718	genus	CENTROPYGE	1.8279914739825
126669	species	AMPHISORUS HEMPRICHII	1.809860935492
120858	species	UNCULTURED EPSILON PROTEOBACTERIUM	1.7831075100898
1437839	species	MYCOBACTERIUM PHAGE ECHILD	1.7493408865139
49327	species	CANDIDA INCOMMUNIS	1.699698710906
4081	species	SOLANUM LYCOPERSICUM	1.6672609844235
104034	species	RETICULITERMES YAEYAMANUS PARABASALIAN SYMBIONT CLONE RY1	1.6533521693572
115547	species	UNCULTURED ARCHAEON	1.5540643080768
239730	species	UNCULTURED ACTINOMYCETALES BACTERIUM	1.521648695341
344338	species	UNCULTURED FIRMICUTES BACTERIUM	1.51760107816
274692	family	SEBASTIDAE	1.46450459797109
274705	subfamily	SEBASTINAE	1.46450459797109
8107	suborder	SCORPAENOIDEI	1.46450459797109
361499	species	PEPTONIPHILUS SP. GPAC077	1.464252392144
187299	species	UNCULTURED CILIATE	1.4639563318662
232520	species	PROTEOBACTERIUM LS 2	1.452175777497
39152	species	METHANOCOCCUS MARIPALUDIS	1.440485375993
30862	family	POMACANTHIDAE	1.417616195506
215363	species	CHAETODONTOPLUS SEPTENTRIONALIS	1.38639908305255
109720	genus	CHAETODONTOPLUS	1.38639908305255
1292	species	STAPHYLOCOCCUS WARNERI	1.3853447488765
90964	family	STAPHYLOCOCCACEAE	1.35567186405344
472931	species	PROTOSTELIUM MYCOPHAGUM	1.32896651470033
1386	genus	BACILLUS	1.32182786561119
2157	superkingdom	ARCHAEA	1.285036499176
1071503	species	MYCOBACTERIUM PHAGE TRIXIE	1.27307503835252
880259	species	STEPHANOSCYPHUS SP. KMB 2010	1.259649993893
179112	species	UNCULTURED ACIDIMICROBIDAE BACTERIUM	1.258479147175
696790	species	STAPHYLOCOCCUS SP. H185	1.2445119880925
1147129	species	DEHALOBACTER SP. DCA	1.22999680634
8065	family	BATRACHOIDIDAE	1.2228871434585
8064	order	BATRACHOIDIFORMES	1.2228871434585
547051	species	UNCULTURED MARINE DIPLONEMID	1.2161098169391
4113	species	SOLANUM TUBEROSUM	1.2025166519655
324688	species	UNCULTURED MARINE PICOPLANKTON	1.20087652667
552923	species	THIOTHRIX SP. ECTOSYMBIONT OF NIPHARGUS ICTUS	1.185134349363
186749	tribe	THUNNINI	1.178131360225
223161	species	PARAMECIUM SCHEWIAKOFFI	1.168212977945
1296	species	STAPHYLOCOCCUS SCIURI	1.149394257451
5810	genus	TOXOPLASMA	1.14902358581569
5811	species	TOXOPLASMA GONDII	1.14902358581569
1032489	species	SORITES SP. 206	1.141815814438
454286	no rank	COCCIDIOIDES IMMITIS RMSCC 3703	1.135326162373
385043	species	UNCULTURED SYNDINIALES	1.1258175803685
245175	species	WALLEMIA MURIAE	1.120968875346
128069	species	ANDROSINA LUCASI	1.1111361094976
128076	species	AMPHISORUS SP. 1333	1.097757251511
629760	species	CERCOZOA SP. CC 2009B	1.083988924462
693272	species	CAFETERIA ROENBERGENSIS VIRUS BV PW1	1.07715688902
